a),Pleistocene + Holocene,
,Sylvilagus,Otospermophilus
TA,13.325,16.025
SEA,2.770929,4.689624
SEAc,2.840202,4.877209
,,
b),Pleistocene-only,
,Sylvilagus,Otospermophilus
TA,7.38,11.485
SEA,1.891897,3.155797
SEAc,1.941684,3.299242
