"index","op","name","z","type","value","probability"
3,"Boundary","",,"posterior",-53644.5,0
3,"Boundary","",,"posterior",-53639.5,1.4195e-7
3,"Boundary","",,"posterior",-53634.5,4.745e-8
3,"Boundary","",,"posterior",-53629.5,4.263e-7
3,"Boundary","",,"posterior",-53624.5,9.45e-8
3,"Boundary","",,"posterior",-53619.5,9.45e-8
3,"Boundary","",,"posterior",-53614.5,9.45e-8
3,"Boundary","",,"posterior",-53609.5,9.45e-8
3,"Boundary","",,"posterior",-53604.5,1.4195e-7
3,"Boundary","",,"posterior",-53599.5,0
3,"Boundary","",,"posterior",-53594.5,9.45e-8
3,"Boundary","",,"posterior",-53589.5,1.4195e-7
3,"Boundary","",,"posterior",-53584.5,4.745e-8
3,"Boundary","",,"posterior",-53579.5,4.745e-8
3,"Boundary","",,"posterior",-53574.5,4.745e-8
3,"Boundary","",,"posterior",-53569.5,2.3686e-7
3,"Boundary","",,"posterior",-53564.5,0
3,"Boundary","",,"posterior",-53559.5,2.839e-7
3,"Boundary","",,"posterior",-53554.5,9.45e-8
3,"Boundary","",,"posterior",-53549.5,4.745e-8
3,"Boundary","",,"posterior",-53544.5,1.894e-7
3,"Boundary","",,"posterior",-53539.5,1.4195e-7
3,"Boundary","",,"posterior",-53534.5,4.745e-8
3,"Boundary","",,"posterior",-53529.5,9.45e-8
3,"Boundary","",,"posterior",-53524.5,1.4195e-7
3,"Boundary","",,"posterior",-53519.5,4.745e-8
3,"Boundary","",,"posterior",-53514.5,9.45e-8
3,"Boundary","",,"posterior",-53509.5,1.4195e-7
3,"Boundary","",,"posterior",-53504.5,2.3686e-7
3,"Boundary","",,"posterior",-53499.5,9.45e-8
3,"Boundary","",,"posterior",-53494.5,4.745e-8
3,"Boundary","",,"posterior",-53489.5,1.894e-7
3,"Boundary","",,"posterior",-53484.5,4.745e-8
3,"Boundary","",,"posterior",-53479.5,1.894e-7
3,"Boundary","",,"posterior",-53474.5,2.3686e-7
3,"Boundary","",,"posterior",-53469.5,2.839e-7
3,"Boundary","",,"posterior",-53464.5,1.4195e-7
3,"Boundary","",,"posterior",-53459.5,1.4195e-7
3,"Boundary","",,"posterior",-53454.5,4.745e-8
3,"Boundary","",,"posterior",-53449.5,9.45e-8
3,"Boundary","",,"posterior",-53444.5,1.894e-7
3,"Boundary","",,"posterior",-53439.5,1.4195e-7
3,"Boundary","",,"posterior",-53434.5,9.45e-8
3,"Boundary","",,"posterior",-53429.5,4.745e-8
3,"Boundary","",,"posterior",-53424.5,1.894e-7
3,"Boundary","",,"posterior",-53419.5,1.4195e-7
3,"Boundary","",,"posterior",-53414.5,3.314e-7
3,"Boundary","",,"posterior",-53409.5,0
3,"Boundary","",,"posterior",-53404.5,2.839e-7
3,"Boundary","",,"posterior",-53399.5,1.4195e-7
3,"Boundary","",,"posterior",-53394.5,1.4195e-7
3,"Boundary","",,"posterior",-53389.5,1.4195e-7
3,"Boundary","",,"posterior",-53384.5,4.745e-8
3,"Boundary","",,"posterior",-53379.5,1.4195e-7
3,"Boundary","",,"posterior",-53374.5,4.745e-8
3,"Boundary","",,"posterior",-53369.5,1.894e-7
3,"Boundary","",,"posterior",-53364.5,9.45e-8
3,"Boundary","",,"posterior",-53359.5,2.3686e-7
3,"Boundary","",,"posterior",-53354.5,4.745e-8
3,"Boundary","",,"posterior",-53349.5,1.894e-7
3,"Boundary","",,"posterior",-53344.5,4.745e-8
3,"Boundary","",,"posterior",-53339.5,1.4195e-7
3,"Boundary","",,"posterior",-53334.5,1.894e-7
3,"Boundary","",,"posterior",-53329.5,4.745e-8
3,"Boundary","",,"posterior",-53324.5,2.3686e-7
3,"Boundary","",,"posterior",-53319.5,4.745e-8
3,"Boundary","",,"posterior",-53314.5,9.45e-8
3,"Boundary","",,"posterior",-53309.5,4.745e-8
3,"Boundary","",,"posterior",-53304.5,1.894e-7
3,"Boundary","",,"posterior",-53299.5,1.894e-7
3,"Boundary","",,"posterior",-53294.5,4.745e-8
3,"Boundary","",,"posterior",-53289.5,1.4195e-7
3,"Boundary","",,"posterior",-53284.5,4.745e-8
3,"Boundary","",,"posterior",-53279.5,9.45e-8
