"index","op","name","z","type","value","probability"
3,"Boundary","",,"posterior",-78894.5,0
3,"Boundary","",,"posterior",-78889.5,0
3,"Boundary","",,"posterior",-78884.5,0
3,"Boundary","",,"posterior",-78879.5,4.745e-8
3,"Boundary","",,"posterior",-78874.5,0
3,"Boundary","",,"posterior",-78869.5,0
3,"Boundary","",,"posterior",-78864.5,0
3,"Boundary","",,"posterior",-78859.5,0
3,"Boundary","",,"posterior",-78854.5,0
3,"Boundary","",,"posterior",-78849.5,0
3,"Boundary","",,"posterior",-78844.5,0
3,"Boundary","",,"posterior",-78839.5,0
3,"Boundary","",,"posterior",-78834.5,4.745e-8
3,"Boundary","",,"posterior",-78829.5,0
3,"Boundary","",,"posterior",-78824.5,0
3,"Boundary","",,"posterior",-78819.5,0
3,"Boundary","",,"posterior",-78814.5,0
3,"Boundary","",,"posterior",-78809.5,0
3,"Boundary","",,"posterior",-78804.5,0
3,"Boundary","",,"posterior",-78799.5,0
3,"Boundary","",,"posterior",-78794.5,0
3,"Boundary","",,"posterior",-78789.5,0
3,"Boundary","",,"posterior",-78784.5,0
3,"Boundary","",,"posterior",-78779.5,0
3,"Boundary","",,"posterior",-78774.5,0
3,"Boundary","",,"posterior",-78769.5,0
3,"Boundary","",,"posterior",-78764.5,0
3,"Boundary","",,"posterior",-78759.5,4.745e-8
3,"Boundary","",,"posterior",-78754.5,0
3,"Boundary","",,"posterior",-78749.5,0
3,"Boundary","",,"posterior",-78744.5,0
3,"Boundary","",,"posterior",-78739.5,0
3,"Boundary","",,"posterior",-78734.5,0
3,"Boundary","",,"posterior",-78729.5,0
3,"Boundary","",,"posterior",-78724.5,0
3,"Boundary","",,"posterior",-78719.5,0
3,"Boundary","",,"posterior",-78714.5,0
3,"Boundary","",,"posterior",-78709.5,0
3,"Boundary","",,"posterior",-78704.5,4.745e-8
3,"Boundary","",,"posterior",-78699.5,0
3,"Boundary","",,"posterior",-78694.5,0
3,"Boundary","",,"posterior",-78689.5,0
3,"Boundary","",,"posterior",-78684.5,0
