UCIAMS_Number,Original_sample_name,Species,Taxon,d15N,d13C,Calibrated_mean_age,Sigma,Cal_median_age,X14C_age_BP,X14C_age_error,pach.d18O_mean,pach.d18O_median,P3_L
216770,HC 142779 Sylvilagus (juv) Pit A  ,S. bachmani,Sylvilagus ,6.9,-22.1,40818,518,40839,35740,570,1.84175,1.919625,2.53
191095,P23-5233 Dep1 B-2 L2 sylvilagus,S. audubonii,Sylvilagus ,8.4,-21.3,40823,546,40844,35750,610,1.860291667,1.938166667,2.78
191100,P23-30238 Dep1 B-1 L2 sylvilagus,S. audubonii,Sylvilagus ,7.3,-21.5,40851,537,40872,35780,600,1.94344898,1.876591837,2.28
223527,V 2751 Sylvilagus ,Sylvilagus sp,Sylvilagus ,4.5,-21.3,40955,414,40969,35870,450,1.471270833,1.549729167,
198202,P23 20172 S. beecheyi Dep. 1 B-1 L8,Otospermophilus,Otospermophilus,4.4,-21.4,40964,498,40984,35900,560,1.521708333,1.633791667,
191098,P23-25476 Dep1 A-2 L4 sylvilagus,S. audubonii,Sylvilagus ,7.4,-21.4,41079,526,41105,36050,630,1.619530612,1.607041667,3.13
198204,P23 30796 S. beecheyi Dep. 1 B-2 L4,Otospermophilus,Otospermophilus,3.8,-21.1,41088,691,41138,36160,910,1.611645833,1.585708333,
223506,P23-39812 Sylvilagus Box 13 B-2 L3,Sylvilagus sp,Sylvilagus ,8.2,-21.2,41295,378,41301,36260,470,1.753091286,1.762950207,
216764,HC 142764 Sylvilagus Pit 16  ,S. audubonii,Sylvilagus ,6.9,-21,41318,466,41346,36350,620,1.790883817,1.836892116,2.83
198205,P23 33227 S. beecheyi Dep. 1 B-2 L3,Otospermophilus,Otospermophilus,7,-20.7,41478,416,41504,36580,610,2.017217391,1.954289855,
216763,HC 142763 Sylvilagus Pit 16  ,S. audubonii,Sylvilagus ,7.6,-21.4,41640,404,41667,36880,660,1.882958333,1.973145833,2.71
223517,P23-40638 Sylvilagus Box 14 ,Sylvilagus sp,Sylvilagus ,7.2,-21.4,41670,313,41688,36870,500,1.964833333,1.914958333,
223585,P23-35541 Sylvilagus Box 13 B-2 L4,Sylvilagus sp,Sylvilagus ,5.2,-21.4,42792,285,42749,39220,460,2.040338235,2.077647059,
223497,P23-36693 Sylvilagus Box 13 B-2 L3,Sylvilagus sp,Sylvilagus ,7,-22,42955,469,42842,39240,670,2.273785714,2.134545455,
198294,P23 28902 Sylvilagus Dep. 1 A-1 L7 .28mgC,S. bachmani,Sylvilagus ,5.5,-20.9,43308,573,43214,39700,810,1.850823529,2.003962963,2.14
223496,P23-36572 Spermophilus  Box 13 A-3 L3,Otospermophilus,Otospermophilus,6.2,-20.9,43792,592,43759,40640,800,1.788666667,1.798037037,
216768,HC 142773 Sylvilagus Pit A  ,S. audubonii,Sylvilagus ,7.8,-21.8,44165,901,44074,41000,1100,1.90804878,1.938067114,2.61
216784,P23 36332 Sylvilagus Dep. 7B B-2 L3,Sylvilagus sp,Sylvilagus ,5.6,-21.7,44609,1098,44489,41500,1200,2.0305,1.899470588,
216783,P23 35774 Lepus Dep. 7B B-2 L3,Leporidae,Sylvilagus ,4.9,-21.6,45776,1526,45531,42600,1400,2.376935484,2.1758,
216769,HC 142778 Sylvilagus Pit A  ,S. audubonii,Sylvilagus ,5.2,-21.3,46056,1554,45791,42900,1400,2.3835,2.517741935,2.84
216762,HC 130857 Spermophilus Bliss 29  ,Otospermophilus,Otospermophilus,4.5,-21.2,47032,1971,46660,43700,1600,1.701338983,1.764027211,
223502,P23-36989 Sylvilagus Box 13 B-2 L4,Sylvilagus sp,Sylvilagus ,7.2,-21.4,46832,1355,46639,44000,1200,1.968,1.798884354,
217079,P23 36331 Sylvilagus Dep. 7B B-2 L3 .23mgC,Sylvilagus sp,Sylvilagus ,6.6,-21.4,49786,2546,49556,46200,2400,1.42125,1.656454545,
191101,P23-31269 Dep1 B-4 L3 sylvilagus,S. audubonii,Sylvilagus ,8.1,-20.5,49757,2473,49500,46200,2200,1.453081081,1.669181818,2.85
223503,P23-37612 Sylvilagus Box 13 B-2 L4,Sylvilagus sp,Sylvilagus ,5.7,-21.4,49531,2149,49221,46200,1600,1.662136364,1.66531068,
198296,P23-31118,Otospermophilus,Otospermophilus,3.2,-19.3,50744,2199,50622,47400,2000,1.309483051,1.497461538,
223504,P23-37651,Otospermophilus,Otospermophilus,6.8,-20.1,50760,2118,50606,47400,1800,1.303110169,1.534384615,
223518,P23-40639,Sylvilagus sp,Sylvilagus ,6.9,-21.7,52138,1821,52335,49800,2500,1.72684466,2.368428571,
216785,P23-36336,Sylvilagus sp,Sylvilagus ,5.3,-22.1,51867,2021,52105,50200,3500,1.814321429,1.731650485,
223514,P23-40635,Sylvilagus sp,Sylvilagus ,6.2,-21.6,,,,>51700,,,,
191242,P23-31031,S. audubonii,Sylvilagus ,4.3,-21.1,,,,>50800,,,,
191104,P23-31036,S. bachmani,Sylvilagus ,7.3,-22.3,,,,>49900,,,,
191105,P23-31056,S. audubonii,Sylvilagus ,7.3,-21.7,,,,>49900,,,,
223523,P23-40647,S. audubonii,Sylvilagus ,9.6,-21,,,,>49900,,,,
191103,P23-31033,S. audubonii,Sylvilagus ,8.5,-21.7,,,,>47800,,,,
,P23-31115,Otospermophilus,Otospermophilus,7.1,-19,,,,,,,,
