"","","xout"
"1",2.3798904109589,29770
"2",2.39327419354839,29780
"3",2.42182258064516,29790
"4",2.45037096774194,29800
"5",2.47891935483871,29810
"6",2.50746774193548,29820
"7",2.53601612903226,29830
"8",2.55431506849315,29840
"9",2.54869863013699,29850
"10",2.54308219178082,29860
"11",2.53746575342466,29870
"12",2.53184931506849,29880
"13",2.52623287671233,29890
"14",2.52061643835616,29900
"15",2.515,29910
"16",2.51436507936508,29920
"17",2.51373015873016,29930
"18",2.51309523809524,29940
"19",2.51246031746032,29950
"20",2.5118253968254,29960
"21",2.51119047619048,29970
"22",2.48866666666667,29980
"23",2.4567619047619,29990
"24",2.42485714285714,30000
"25",2.39295238095238,30010
"26",2.39334146341463,30020
"27",2.4260243902439,30030
"28",2.45870731707317,30040
"29",2.49139024390244,30050
"30",2.50228571428571,30060
"31",2.4805,30070
"32",2.45871428571429,30080
"33",2.43692857142857,30090
"34",2.41514285714286,30100
"35",2.39335714285714,30110
"36",2.37157142857143,30120
"37",2.34978571428571,30130
"38",2.328,30140
"39",2.33498630136986,30150
"40",2.34197260273973,30160
"41",2.34895890410959,30170
"42",2.35594520547945,30180
"43",2.36293150684932,30190
"44",2.36991780821918,30200
"45",2.37690410958904,30210
"46",2.39865384615385,30220
"47",2.42673076923077,30230
"48",2.45480769230769,30240
"49",2.48288461538462,30250
"50",2.51096153846154,30260
"51",2.5016265060241,30270
"52",2.45487951807229,30280
"53",2.40813253012048,30290
"54",2.36138554216867,30300
"55",2.31463855421687,30310
"56",2.26789156626506,30320
"57",2.22114457831325,30330
"58",2.17439759036145,30340
"59",2.14588888888889,30350
"60",2.19033333333333,30360
"61",2.23477777777778,30370
"62",2.27922222222222,30380
"63",2.32366666666667,30390
"64",2.36811111111111,30400
"65",2.41255555555556,30410
"66",2.42589156626506,30420
"67",2.43577108433735,30430
"68",2.44565060240964,30440
"69",2.45553012048193,30450
"70",2.46540963855422,30460
"71",2.47528915662651,30470
"72",2.4851686746988,30480
"73",2.49504819277108,30490
"74",2.49004109589041,30500
"75",2.4751095890411,30510
"76",2.46017808219178,30520
"77",2.44524657534247,30530
"78",2.43031506849315,30540
"79",2.41538356164384,30550
"80",2.40045205479452,30560
"81",2.3875625,30570
"82",2.3794375,30580
"83",2.3713125,30590
"84",2.36945161290323,30600
"85",2.42396774193548,30610
"86",2.47848387096774,30620
"87",2.533,30630
"88",2.51313698630137,30640
"89",2.49327397260274,30650
"90",2.47341095890411,30660
"91",2.45354794520548,30670
"92",2.43368493150685,30680
"93",2.41382191780822,30690
"94",2.39395890410959,30700
"95",2.39787671232877,30710
"96",2.41198630136986,30720
"97",2.42609589041096,30730
"98",2.44020547945205,30740
"99",2.45431506849315,30750
"100",2.46842465753425,30760
"101",2.48253424657534,30770
"102",2.47685714285714,30780
"103",2.4415,30790
"104",2.40614285714286,30800
"105",2.37078571428571,30810
"106",2.33542857142857,30820
"107",2.30007142857143,30830
"108",2.26471428571429,30840
"109",2.22935714285714,30850
"110",2.194,30860
"111",2.23156097560976,30870
"112",2.26912195121951,30880
"113",2.30668292682927,30890
"114",2.34424390243902,30900
"115",2.29271428571429,30910
"116",2.23128571428571,30920
"117",2.24080821917808,30930
"118",2.26806849315068,30940
"119",2.29532876712329,30950
"120",2.32258904109589,30960
"121",2.34984931506849,30970
"122",2.3771095890411,30980
"123",2.4043698630137,30990
"124",2.42245205479452,31000
"125",2.43135616438356,31010
"126",2.4402602739726,31020
"127",2.44916438356164,31030
"128",2.45806849315069,31040
"129",2.46697260273973,31050
"130",2.47587671232877,31060
"131",2.47815068493151,31070
"132",2.45390410958904,31080
"133",2.42965753424658,31090
"134",2.40541095890411,31100
"135",2.38116438356164,31110
"136",2.35691780821918,31120
"137",2.33267123287671,31130
"138",2.30842465753425,31140
"139",2.25767857142857,31150
"140",2.2039880952381,31160
"141",2.15029761904762,31170
"142",2.09660714285714,31180
"143",2.04291666666667,31190
"144",1.98922619047619,31200
"145",1.93553571428571,31210
"146",1.88184523809524,31220
"147",1.91076923076923,31230
"148",2.02230769230769,31240
"149",2.13384615384615,31250
"150",2.24538461538462,31260
"151",2.35692307692308,31270
"152",2.43441463414634,31280
"153",2.43246341463415,31290
"154",2.43051219512195,31300
"155",2.42856097560976,31310
"156",2.42485106382979,31320
"157",2.41410638297872,31330
"158",2.40336170212766,31340
"159",2.3926170212766,31350
"160",2.38187234042553,31360
"161",2.37112765957447,31370
"162",2.3603829787234,31380
"163",2.34963829787234,31390
"164",2.33889361702128,31400
"165",2.32814893617021,31410
"166",2.28701587301587,31420
"167",2.23828571428571,31430
"168",2.18955555555556,31440
"169",2.1408253968254,31450
"170",2.09209523809524,31460
"171",2.04336507936508,31470
"172",2.04976923076923,31480
"173",2.11130769230769,31490
"174",2.17284615384615,31500
"175",2.23438461538462,31510
"176",2.29592307692308,31520
"177",2.33752054794521,31530
"178",2.33258904109589,31540
"179",2.32765753424658,31550
"180",2.32272602739726,31560
"181",2.31779452054795,31570
"182",2.31286301369863,31580
"183",2.30793150684931,31590
"184",2.303,31600
"185",2.25085714285714,31610
"186",2.19871428571429,31620
"187",2.14657142857143,31630
"188",2.09442857142857,31640
"189",2.04228571428571,31650
"190",1.99014285714286,31660
"191",1.938,31670
"192",1.98064705882353,31680
"193",2.02329411764706,31690
"194",2.06594117647059,31700
"195",2.07914285714286,31710
"196",2.07271428571429,31720
"197",2.06628571428571,31730
"198",2.05985714285714,31740
"199",2.05342857142857,31750
"200",2.047,31760
"201",2.04057142857143,31770
"202",2.05206557377049,31780
"203",2.07550819672131,31790
"204",2.09895081967213,31800
"205",2.12239344262295,31810
"206",2.14583606557377,31820
"207",2.16927868852459,31830
"208",2.17513043478261,31840
"209",2.16339130434783,31850
"210",2.15165217391304,31860
"211",2.13991304347826,31870
"212",2.12817391304348,31880
"213",2.1164347826087,31890
"214",2.10469565217391,31900
"215",2.06055737704918,31910
"216",1.99481967213115,31920
"217",1.92908196721311,31930
"218",1.86334426229508,31940
"219",1.79760655737705,31950
"220",1.73186885245902,31960
"221",1.70842857142857,31970
"222",1.72728571428571,31980
"223",1.74614285714286,31990
"224",1.765,32000
"225",1.78385714285714,32010
"226",1.80271428571429,32020
"227",1.82157142857143,32030
"228",1.82509836065574,32040
"229",1.81329508196721,32050
"230",1.80149180327869,32060
"231",1.78968852459016,32070
