"Deposit","P23_d18O_mean","P23_d18O_med"
"1",2.03959495887025,2.14352941176471
"7",1.79758361008385,1.58773786407767
"13",1.93805443001046,1.88161538461538
"14",2.2846083894789,2.32465370018975
