"","x"
"1",0.519901502504174
"2",0.420258064516129
"3",0.615359447004608
"4",0.489146627565982
"5",0.312150684931507
"6",1.44171929824561
"7",2.70924137931034
"8",2.70471428571429
"9",2.50446341463415
"10",2.45122580645161
"11",2.26806849315068
"12",2.43847945205479
"13",1.94880327868852
"14",1.87614659685864
"15",2.38372727272727
"16",2.22948717948718
"17",2.19088235294118
"18",2.144
"19",1.916
"20",1.584
"21",1.44304
"22",1.57810526315789
"23",1.62231578947368
"24",1.65221951219512
"25",1.69863265306122
"26",1.46671428571429
"27",2.260925
"28",2.29811111111111
"29",1.42307352941176
"30",1.56534536082474
"31",1.70038461538462
"32",1.76068965517241
"33",1.65426315789474
"34",1.85413350449294
"35",1.73120667522465
"36",2.40133333333333
"37",2.27185714285714
"38",2.376
"39",2.41045
"40",2.32328571428571
"41",2.14778571428571
"42",2.28490909090909
"43",2.32945454545455
"44",2.07245454545455
"45",2.22772727272727
"46",2.25131818181818
"47",2.23303225806452
"48",2.23881818181818
"49",1.86704081632653
"50",1.43760975609756
"51",1.59591666666667
"52",1.89604564315353
"53",1.93548132780083
"54",2.03773529411765
"55",2.30566666666667
"56",2.03045679012346
"57",1.51931481481481
"58",1.89456097560976
"59",1.72612765957447
"60",2.09710714285714
"61",1.81050340136054
"62",1.97317475728155
"63",1.92484466019417
"64",1.75382524271845
"65",1.62957692307692
"66",1.87784162895928
