index,op,name,z,type,value,probability
3,Boundary,,,posterior,-56424.5,0
3,Boundary,,,posterior,-56419.5,4.72E-08
3,Boundary,,,posterior,-56414.5,0
3,Boundary,,,posterior,-56409.5,4.72E-08
3,Boundary,,,posterior,-56404.5,0
3,Boundary,,,posterior,-56399.5,0
3,Boundary,,,posterior,-56394.5,4.72E-08
3,Boundary,,,posterior,-56389.5,0
3,Boundary,,,posterior,-56384.5,0
3,Boundary,,,posterior,-56379.5,0
3,Boundary,,,posterior,-56374.5,0
3,Boundary,,,posterior,-56369.5,0
3,Boundary,,,posterior,-56364.5,0
3,Boundary,,,posterior,-56359.5,0
3,Boundary,,,posterior,-56354.5,0
3,Boundary,,,posterior,-56349.5,0
3,Boundary,,,posterior,-56344.5,0
3,Boundary,,,posterior,-56339.5,0
3,Boundary,,,posterior,-56334.5,4.72E-08
3,Boundary,,,posterior,-56329.5,0
3,Boundary,,,posterior,-56324.5,0
3,Boundary,,,posterior,-56319.5,0
3,Boundary,,,posterior,-56314.5,0
3,Boundary,,,posterior,-56309.5,0
3,Boundary,,,posterior,-56304.5,0
3,Boundary,,,posterior,-56299.5,0
3,Boundary,,,posterior,-56294.5,0
3,Boundary,,,posterior,-56289.5,0
3,Boundary,,,posterior,-56284.5,0
3,Boundary,,,posterior,-56279.5,0
3,Boundary,,,posterior,-56274.5,0
3,Boundary,,,posterior,-56269.5,0
3,Boundary,,,posterior,-56264.5,0
3,Boundary,,,posterior,-56259.5,0
3,Boundary,,,posterior,-56254.5,0
3,Boundary,,,posterior,-56249.5,0
3,Boundary,,,posterior,-56244.5,0
3,Boundary,,,posterior,-56239.5,0
3,Boundary,,,posterior,-56234.5,4.72E-08
3,Boundary,,,posterior,-56229.5,4.72E-08
3,Boundary,,,posterior,-56224.5,0
3,Boundary,,,posterior,-56219.5,4.72E-08
3,Boundary,,,posterior,-56214.5,0
3,Boundary,,,posterior,-56209.5,0
3,Boundary,,,posterior,-56204.5,4.72E-08
3,Boundary,,,posterior,-56199.5,0
3,Boundary,,,posterior,-56194.5,0
3,Boundary,,,posterior,-56189.5,0
3,Boundary,,,posterior,-56184.5,0
3,Boundary,,,posterior,-56179.5,0
3,Boundary,,,posterior,-56174.5,4.72E-08
3,Boundary,,,posterior,-56169.5,0
3,Boundary,,,posterior,-56164.5,0
3,Boundary,,,posterior,-56159.5,0
3,Boundary,,,posterior,-56154.5,0
3,Boundary,,,posterior,-56149.5,0
3,Boundary,,,posterior,-56144.5,0
3,Boundary,,,posterior,-56139.5,0
3,Boundary,,,posterior,-56134.5,0
3,Boundary,,,posterior,-56129.5,0
3,Boundary,,,posterior,-56124.5,0
3,Boundary,,,posterior,-56119.5,0
3,Boundary,,,posterior,-56114.5,0
3,Boundary,,,posterior,-56109.5,0
3,Boundary,,,posterior,-56104.5,0
3,Boundary,,,posterior,-56099.5,0
3,Boundary,,,posterior,-56094.5,0
3,Boundary,,,posterior,-56089.5,0
3,Boundary,,,posterior,-56084.5,0
3,Boundary,,,posterior,-56079.5,0
3,Boundary,,,posterior,-56074.5,0
3,Boundary,,,posterior,-56069.5,0
3,Boundary,,,posterior,-56064.5,0
3,Boundary,,,posterior,-56059.5,0
3,Boundary,,,posterior,-56054.5,0
3,Boundary,,,posterior,-56049.5,0
3,Boundary,,,posterior,-56044.5,0
3,Boundary,,,posterior,-56039.5,0
3,Boundary,,,posterior,-56034.5,0
3,Boundary,,,posterior,-56029.5,0
3,Boundary,,,posterior,-56024.5,4.72E-08
3,Boundary,,,posterior,-56019.5,4.72E-08
3,Boundary,,,posterior,-56014.5,0
3,Boundary,,,posterior,-56009.5,0
3,Boundary,,,posterior,-56004.5,4.72E-08
3,Boundary,,,posterior,-55999.5,0
3,Boundary,,,posterior,-55994.5,0
3,Boundary,,,posterior,-55989.5,0
3,Boundary,,,posterior,-55984.5,4.72E-08
3,Boundary,,,posterior,-55979.5,0
3,Boundary,,,posterior,-55974.5,0
3,Boundary,,,posterior,-55969.5,0
3,Boundary,,,posterior,-55964.5,0
3,Boundary,,,posterior,-55959.5,0
3,Boundary,,,posterior,-55954.5,0
3,Boundary,,,posterior,-55949.5,0
3,Boundary,,,posterior,-55944.5,0
3,Boundary,,,posterior,-55939.5,0
3,Boundary,,,posterior,-55934.5,0
3,Boundary,,,posterior,-55929.5,0
3,Boundary,,,posterior,-55924.5,0
3,Boundary,,,posterior,-55919.5,0
3,Boundary,,,posterior,-55914.5,0
3,Boundary,,,posterior,-55909.5,0
3,Boundary,,,posterior,-55904.5,0
3,Boundary,,,posterior,-55899.5,0
3,Boundary,,,posterior,-55894.5,4.72E-08
3,Boundary,,,posterior,-55889.5,0
3,Boundary,,,posterior,-55884.5,0
3,Boundary,,,posterior,-55879.5,0
3,Boundary,,,posterior,-55874.5,0
3,Boundary,,,posterior,-55869.5,0
3,Boundary,,,posterior,-55864.5,0
3,Boundary,,,posterior,-55859.5,0
3,Boundary,,,posterior,-55854.5,0
3,Boundary,,,posterior,-55849.5,0
3,Boundary,,,posterior,-55844.5,0
3,Boundary,,,posterior,-55839.5,0
3,Boundary,,,posterior,-55834.5,0
3,Boundary,,,posterior,-55829.5,4.72E-08
3,Boundary,,,posterior,-55824.5,0
3,Boundary,,,posterior,-55819.5,0
3,Boundary,,,posterior,-55814.5,0
3,Boundary,,,posterior,-55809.5,0
3,Boundary,,,posterior,-55804.5,0
3,Boundary,,,posterior,-55799.5,0
3,Boundary,,,posterior,-55794.5,0
3,Boundary,,,posterior,-55789.5,0
3,Boundary,,,posterior,-55784.5,0
3,Boundary,,,posterior,-55779.5,4.72E-08
3,Boundary,,,posterior,-55774.5,0
3,Boundary,,,posterior,-55769.5,0
3,Boundary,,,posterior,-55764.5,0
3,Boundary,,,posterior,-55759.5,4.72E-08
3,Boundary,,,posterior,-55754.5,0
3,Boundary,,,posterior,-55749.5,0
3,Boundary,,,posterior,-55744.5,0
3,Boundary,,,posterior,-55739.5,0
3,Boundary,,,posterior,-55734.5,0
3,Boundary,,,posterior,-55729.5,0
3,Boundary,,,posterior,-55724.5,0
3,Boundary,,,posterior,-55719.5,0
