index,op,name,z,type,value,probability
3,Boundary,,,posterior,-64894.5,0
3,Boundary,,,posterior,-64889.5,0
3,Boundary,,,posterior,-64884.5,0
3,Boundary,,,posterior,-64879.5,0
3,Boundary,,,posterior,-64874.5,0
3,Boundary,,,posterior,-64869.5,0
3,Boundary,,,posterior,-64864.5,0
3,Boundary,,,posterior,-64859.5,0
3,Boundary,,,posterior,-64854.5,0
3,Boundary,,,posterior,-64849.5,0
3,Boundary,,,posterior,-64844.5,0
3,Boundary,,,posterior,-64839.5,0
3,Boundary,,,posterior,-64834.5,0
3,Boundary,,,posterior,-64829.5,0
3,Boundary,,,posterior,-64824.5,0
3,Boundary,,,posterior,-64819.5,0
3,Boundary,,,posterior,-64814.5,0
3,Boundary,,,posterior,-64809.5,0
3,Boundary,,,posterior,-64804.5,0
3,Boundary,,,posterior,-64799.5,0
3,Boundary,,,posterior,-64794.5,0
3,Boundary,,,posterior,-64789.5,0
3,Boundary,,,posterior,-64784.5,0
3,Boundary,,,posterior,-64779.5,0
3,Boundary,,,posterior,-64774.5,0
3,Boundary,,,posterior,-64769.5,0
3,Boundary,,,posterior,-64764.5,0
3,Boundary,,,posterior,-64759.5,0
3,Boundary,,,posterior,-64754.5,0
3,Boundary,,,posterior,-64749.5,0
3,Boundary,,,posterior,-64744.5,0
3,Boundary,,,posterior,-64739.5,0
3,Boundary,,,posterior,-64734.5,0
3,Boundary,,,posterior,-64729.5,0
3,Boundary,,,posterior,-64724.5,0
3,Boundary,,,posterior,-64719.5,0
3,Boundary,,,posterior,-64714.5,0
3,Boundary,,,posterior,-64709.5,0
3,Boundary,,,posterior,-64704.5,0
3,Boundary,,,posterior,-64699.5,0
3,Boundary,,,posterior,-64694.5,0
3,Boundary,,,posterior,-64689.5,0
3,Boundary,,,posterior,-64684.5,0
3,Boundary,,,posterior,-64679.5,0
3,Boundary,,,posterior,-64674.5,0
3,Boundary,,,posterior,-64669.5,0
3,Boundary,,,posterior,-64664.5,0
3,Boundary,,,posterior,-64659.5,0
3,Boundary,,,posterior,-64654.5,0
3,Boundary,,,posterior,-64649.5,0
3,Boundary,,,posterior,-64644.5,0
3,Boundary,,,posterior,-64639.5,0
3,Boundary,,,posterior,-64634.5,0
3,Boundary,,,posterior,-64629.5,0
3,Boundary,,,posterior,-64624.5,0
3,Boundary,,,posterior,-64619.5,0
3,Boundary,,,posterior,-64614.5,0
3,Boundary,,,posterior,-64609.5,0
3,Boundary,,,posterior,-64604.5,0
3,Boundary,,,posterior,-64599.5,0
3,Boundary,,,posterior,-64594.5,0
3,Boundary,,,posterior,-64589.5,4.72E-08
3,Boundary,,,posterior,-64584.5,0
3,Boundary,,,posterior,-64579.5,0
3,Boundary,,,posterior,-64574.5,0
3,Boundary,,,posterior,-64569.5,0
3,Boundary,,,posterior,-64564.5,0
3,Boundary,,,posterior,-64559.5,0
3,Boundary,,,posterior,-64554.5,0
3,Boundary,,,posterior,-64549.5,0
3,Boundary,,,posterior,-64544.5,0
3,Boundary,,,posterior,-64539.5,0
3,Boundary,,,posterior,-64534.5,0
3,Boundary,,,posterior,-64529.5,0
3,Boundary,,,posterior,-64524.5,0
3,Boundary,,,posterior,-64519.5,0
3,Boundary,,,posterior,-64514.5,0
3,Boundary,,,posterior,-64509.5,0
3,Boundary,,,posterior,-64504.5,0
3,Boundary,,,posterior,-64499.5,0
3,Boundary,,,posterior,-64494.5,0
3,Boundary,,,posterior,-64489.5,0
3,Boundary,,,posterior,-64484.5,0
3,Boundary,,,posterior,-64479.5,0
3,Boundary,,,posterior,-64474.5,0
3,Boundary,,,posterior,-64469.5,0
3,Boundary,,,posterior,-64464.5,0
3,Boundary,,,posterior,-64459.5,0
3,Boundary,,,posterior,-64454.5,0
3,Boundary,,,posterior,-64449.5,0
3,Boundary,,,posterior,-64444.5,0
3,Boundary,,,posterior,-64439.5,0
3,Boundary,,,posterior,-64434.5,0
3,Boundary,,,posterior,-64429.5,0
3,Boundary,,,posterior,-64424.5,0
3,Boundary,,,posterior,-64419.5,0
3,Boundary,,,posterior,-64414.5,0
3,Boundary,,,posterior,-64409.5,0
3,Boundary,,,posterior,-64404.5,0
3,Boundary,,,posterior,-64399.5,0
3,Boundary,,,posterior,-64394.5,4.72E-08
3,Boundary,,,posterior,-64389.5,0
3,Boundary,,,posterior,-64384.5,0
3,Boundary,,,posterior,-64379.5,0
3,Boundary,,,posterior,-64374.5,0
3,Boundary,,,posterior,-64369.5,0
3,Boundary,,,posterior,-64364.5,0
3,Boundary,,,posterior,-64359.5,0
3,Boundary,,,posterior,-64354.5,0
3,Boundary,,,posterior,-64349.5,4.72E-08
3,Boundary,,,posterior,-64344.5,0
3,Boundary,,,posterior,-64339.5,0
3,Boundary,,,posterior,-64334.5,4.72E-08
3,Boundary,,,posterior,-64329.5,4.72E-08
3,Boundary,,,posterior,-64324.5,0
3,Boundary,,,posterior,-64319.5,0
3,Boundary,,,posterior,-64314.5,0
3,Boundary,,,posterior,-64309.5,0
3,Boundary,,,posterior,-64304.5,0
3,Boundary,,,posterior,-64299.5,0
3,Boundary,,,posterior,-64294.5,0
3,Boundary,,,posterior,-64289.5,0
3,Boundary,,,posterior,-64284.5,0
3,Boundary,,,posterior,-64279.5,0
3,Boundary,,,posterior,-64274.5,0
3,Boundary,,,posterior,-64269.5,0
3,Boundary,,,posterior,-64264.5,0
3,Boundary,,,posterior,-64259.5,0
3,Boundary,,,posterior,-64254.5,0
3,Boundary,,,posterior,-64249.5,0
3,Boundary,,,posterior,-64244.5,0
3,Boundary,,,posterior,-64239.5,0
3,Boundary,,,posterior,-64234.5,0
3,Boundary,,,posterior,-64229.5,0
3,Boundary,,,posterior,-64224.5,0
3,Boundary,,,posterior,-64219.5,0
3,Boundary,,,posterior,-64214.5,0
3,Boundary,,,posterior,-64209.5,0
3,Boundary,,,posterior,-64204.5,0
3,Boundary,,,posterior,-64199.5,0
3,Boundary,,,posterior,-64194.5,0
3,Boundary,,,posterior,-64189.5,0
3,Boundary,,,posterior,-64184.5,0
3,Boundary,,,posterior,-64179.5,0
3,Boundary,,,posterior,-64174.5,0
3,Boundary,,,posterior,-64169.5,0
3,Boundary,,,posterior,-64164.5,0
3,Boundary,,,posterior,-64159.5,0
3,Boundary,,,posterior,-64154.5,0
3,Boundary,,,posterior,-64149.5,0
3,Boundary,,,posterior,-64144.5,0
3,Boundary,,,posterior,-64139.5,0
3,Boundary,,,posterior,-64134.5,0
3,Boundary,,,posterior,-64129.5,0
3,Boundary,,,posterior,-64124.5,0
3,Boundary,,,posterior,-64119.5,0
3,Boundary,,,posterior,-64114.5,0
3,Boundary,,,posterior,-64109.5,0
3,Boundary,,,posterior,-64104.5,0
3,Boundary,,,posterior,-64099.5,0
3,Boundary,,,posterior,-64094.5,0
3,Boundary,,,posterior,-64089.5,0
3,Boundary,,,posterior,-64084.5,0
3,Boundary,,,posterior,-64079.5,0
3,Boundary,,,posterior,-64074.5,0
3,Boundary,,,posterior,-64069.5,0
3,Boundary,,,posterior,-64064.5,0
3,Boundary,,,posterior,-64059.5,0
3,Boundary,,,posterior,-64054.5,0
3,Boundary,,,posterior,-64049.5,0
3,Boundary,,,posterior,-64044.5,0
3,Boundary,,,posterior,-64039.5,0
3,Boundary,,,posterior,-64034.5,0
3,Boundary,,,posterior,-64029.5,0
3,Boundary,,,posterior,-64024.5,0
3,Boundary,,,posterior,-64019.5,0
3,Boundary,,,posterior,-64014.5,0
3,Boundary,,,posterior,-64009.5,0
3,Boundary,,,posterior,-64004.5,0
3,Boundary,,,posterior,-63999.5,0
