index,op,name,z,type,value,probability
3,Boundary,,,posterior,-78049.5,0
3,Boundary,,,posterior,-78044.5,0
3,Boundary,,,posterior,-78039.5,0
3,Boundary,,,posterior,-78034.5,4.73E-08
3,Boundary,,,posterior,-78029.5,4.73E-08
3,Boundary,,,posterior,-78024.5,0
3,Boundary,,,posterior,-78019.5,0
3,Boundary,,,posterior,-78014.5,0
3,Boundary,,,posterior,-78009.5,0
3,Boundary,,,posterior,-78004.5,0
3,Boundary,,,posterior,-77999.5,0
3,Boundary,,,posterior,-77994.5,0
3,Boundary,,,posterior,-77989.5,0
3,Boundary,,,posterior,-77984.5,0
3,Boundary,,,posterior,-77979.5,0
3,Boundary,,,posterior,-77974.5,0
3,Boundary,,,posterior,-77969.5,0
3,Boundary,,,posterior,-77964.5,0
3,Boundary,,,posterior,-77959.5,0
3,Boundary,,,posterior,-77954.5,0
3,Boundary,,,posterior,-77949.5,0
3,Boundary,,,posterior,-77944.5,0
3,Boundary,,,posterior,-77939.5,9.47E-08
3,Boundary,,,posterior,-77934.5,0
3,Boundary,,,posterior,-77929.5,0
3,Boundary,,,posterior,-77924.5,0
3,Boundary,,,posterior,-77919.5,0
3,Boundary,,,posterior,-77914.5,0
3,Boundary,,,posterior,-77909.5,0
3,Boundary,,,posterior,-77904.5,0
3,Boundary,,,posterior,-77899.5,0
3,Boundary,,,posterior,-77894.5,0
3,Boundary,,,posterior,-77889.5,9.47E-08
3,Boundary,,,posterior,-77884.5,0
3,Boundary,,,posterior,-77879.5,0
3,Boundary,,,posterior,-77874.5,0
3,Boundary,,,posterior,-77869.5,9.47E-08
3,Boundary,,,posterior,-77864.5,0
3,Boundary,,,posterior,-77859.5,0
3,Boundary,,,posterior,-77854.5,0
3,Boundary,,,posterior,-77849.5,0
3,Boundary,,,posterior,-77844.5,4.73E-08
3,Boundary,,,posterior,-77839.5,4.73E-08
3,Boundary,,,posterior,-77834.5,4.73E-08
3,Boundary,,,posterior,-77829.5,0
3,Boundary,,,posterior,-77824.5,4.73E-08
3,Boundary,,,posterior,-77819.5,0
3,Boundary,,,posterior,-77814.5,0
3,Boundary,,,posterior,-77809.5,0
3,Boundary,,,posterior,-77804.5,0
3,Boundary,,,posterior,-77799.5,0
3,Boundary,,,posterior,-77794.5,0
3,Boundary,,,posterior,-77789.5,0
3,Boundary,,,posterior,-77784.5,0
3,Boundary,,,posterior,-77779.5,0
3,Boundary,,,posterior,-77774.5,0
3,Boundary,,,posterior,-77769.5,0
3,Boundary,,,posterior,-77764.5,0
3,Boundary,,,posterior,-77759.5,0
3,Boundary,,,posterior,-77754.5,0
3,Boundary,,,posterior,-77749.5,0
3,Boundary,,,posterior,-77744.5,0
3,Boundary,,,posterior,-77739.5,0
3,Boundary,,,posterior,-77734.5,0
3,Boundary,,,posterior,-77729.5,4.73E-08
3,Boundary,,,posterior,-77724.5,0
3,Boundary,,,posterior,-77719.5,0
3,Boundary,,,posterior,-77714.5,0
3,Boundary,,,posterior,-77709.5,0
3,Boundary,,,posterior,-77704.5,0
3,Boundary,,,posterior,-77699.5,0
3,Boundary,,,posterior,-77694.5,0
3,Boundary,,,posterior,-77689.5,0
3,Boundary,,,posterior,-77684.5,0
3,Boundary,,,posterior,-77679.5,0
3,Boundary,,,posterior,-77674.5,0
3,Boundary,,,posterior,-77669.5,0
3,Boundary,,,posterior,-77664.5,0
3,Boundary,,,posterior,-77659.5,0
3,Boundary,,,posterior,-77654.5,0
3,Boundary,,,posterior,-77649.5,0
3,Boundary,,,posterior,-77644.5,0
3,Boundary,,,posterior,-77639.5,4.73E-08
3,Boundary,,,posterior,-77634.5,4.73E-08
3,Boundary,,,posterior,-77629.5,0
3,Boundary,,,posterior,-77624.5,0
3,Boundary,,,posterior,-77619.5,0
3,Boundary,,,posterior,-77614.5,0
3,Boundary,,,posterior,-77609.5,0
3,Boundary,,,posterior,-77604.5,0
3,Boundary,,,posterior,-77599.5,0
3,Boundary,,,posterior,-77594.5,0
3,Boundary,,,posterior,-77589.5,0
3,Boundary,,,posterior,-77584.5,0
3,Boundary,,,posterior,-77579.5,0
