Name,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent1,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent2,Unmodelled _BP_mu,Unmodelled _BP_sigma,Unmodelled _BP_median,Modelled_BP_from,Modelled_BP_to,Modelled_BP_percent1,Modelled_BP_from,Modelled_BP_to,Modelled_BP_percent2,Modelled_BP_mu,Modelled_BP_sigma,Modelled_BP_median
 Boundary,,,,,,,,,,56540,49180,68.268949,64420,47240,95.449974,54510,4790,53530
"UCIAMS 216781 R_Date(30970,320)",35690,34880,68.268949,36070,34670,95.449974,35350,370,35350,35870,35050,68.268949,36100,34700,95.449974,35410,370,35400
"UCIAMS 216782 R_Date(38750,840)",43030,42170,68.268949,44090,41920,95.449974,42770,540,42660,43030,42170,68.268949,44090,41910,95.449974,42770,540,42660
"UCIAMS 216783 R_Date(42600,1400)",46800,44200,68.268949,48750,43020,95.449974,45780,1530,45530,46790,44220,68.268949,48590,43060,95.449974,45730,1450,45510
"UCIAMS 216784 R_Date(41500,1200)",45280,43260,68.268949,46840,42730,95.449974,44610,1100,44490,45310,43250,68.268949,46810,42730,95.449974,44600,1090,44490
"UCIAMS 216785 R_Date(50200,3500)",...,50870,68.268949,...,48210,95.449974,51870,2020,52110,52880,48120,68.268949,54980,47120,95.449974,50640,2110,50520
"UCIAMS 217079 R_Date(46200,2400)",51990,46520,68.268949,...,45900,95.449974,49790,2550,49560,50600,46030,68.268949,53960,45070,95.449974,49020,2270,48740
Event,,,,,,,,,,49640,35210,68.268949,57520,29830,95.449973,43260,7280,43110
 Boundary,,,,,,,,,,35690,31580,68.268949,36090,23320,95.449974,32020,3970,33390
