"index","op","name","z","type","value","probability"
3,"Boundary","",,"posterior",-73559.5,0.000002983
3,"Boundary","",,"posterior",-73554.5,0.0000028409
3,"Boundary","",,"posterior",-73549.5,0.0000030776
3,"Boundary","",,"posterior",-73544.5,0.0000023674
3,"Boundary","",,"posterior",-73539.5,0.0000024148
3,"Boundary","",,"posterior",-73534.5,0.0000025094
3,"Boundary","",,"posterior",-73529.5,0.000003172
3,"Boundary","",,"posterior",-73524.5,0.000002983
3,"Boundary","",,"posterior",-73519.5,0.0000026988
3,"Boundary","",,"posterior",-73514.5,0.00000322
3,"Boundary","",,"posterior",-73509.5,0.0000027462
3,"Boundary","",,"posterior",-73504.5,0.0000025568
3,"Boundary","",,"posterior",-73499.5,0.0000029355
3,"Boundary","",,"posterior",-73494.5,0.0000023201
3,"Boundary","",,"posterior",-73489.5,0.0000023201
3,"Boundary","",,"posterior",-73484.5,0.0000027936
3,"Boundary","",,"posterior",-73479.5,0.0000029355
3,"Boundary","",,"posterior",-73474.5,0.0000025094
3,"Boundary","",,"posterior",-73469.5,0.0000026042
3,"Boundary","",,"posterior",-73464.5,0.0000028882
3,"Boundary","",,"posterior",-73459.5,0.000003409
3,"Boundary","",,"posterior",-73454.5,0.0000022727
3,"Boundary","",,"posterior",-73449.5,0.0000028409
3,"Boundary","",,"posterior",-73444.5,0.0000028409
3,"Boundary","",,"posterior",-73439.5,0.0000025568
3,"Boundary","",,"posterior",-73434.5,0.0000025094
3,"Boundary","",,"posterior",-73429.5,0.0000031249
3,"Boundary","",,"posterior",-73424.5,0.0000031249
3,"Boundary","",,"posterior",-73419.5,0.0000027462
3,"Boundary","",,"posterior",-73414.5,0.0000030303
3,"Boundary","",,"posterior",-73409.5,0.0000022727
3,"Boundary","",,"posterior",-73404.5,0.0000028409
3,"Boundary","",,"posterior",-73399.5,0.0000025094
3,"Boundary","",,"posterior",-73394.5,0.0000027936
3,"Boundary","",,"posterior",-73389.5,0.0000022254
3,"Boundary","",,"posterior",-73384.5,0.0000025094
3,"Boundary","",,"posterior",-73379.5,0.0000026988
3,"Boundary","",,"posterior",-73374.5,0.0000028409
3,"Boundary","",,"posterior",-73369.5,0.0000022727
3,"Boundary","",,"posterior",-73364.5,0.0000026988
3,"Boundary","",,"posterior",-73359.5,0.0000026042
3,"Boundary","",,"posterior",-73354.5,0.000002983
3,"Boundary","",,"posterior",-73349.5,0.000003172
3,"Boundary","",,"posterior",-73344.5,0.0000031249
3,"Boundary","",,"posterior",-73339.5,0.0000029355
3,"Boundary","",,"posterior",-73334.5,0.0000027936
3,"Boundary","",,"posterior",-73329.5,0.0000031249
3,"Boundary","",,"posterior",-73324.5,0.000003172
3,"Boundary","",,"posterior",-73319.5,0.0000025094
3,"Boundary","",,"posterior",-73314.5,0.0000027462
3,"Boundary","",,"posterior",-73309.5,0.0000027462
3,"Boundary","",,"posterior",-73304.5,0.0000030776
3,"Boundary","",,"posterior",-73299.5,0.0000029355
3,"Boundary","",,"posterior",-73294.5,0.0000028409
3,"Boundary","",,"posterior",-73289.5,0.0000025568
3,"Boundary","",,"posterior",-73284.5,0.0000028409
3,"Boundary","",,"posterior",-73279.5,0.0000028409
3,"Boundary","",,"posterior",-73274.5,0.0000025094
3,"Boundary","",,"posterior",-73269.5,0.000003314
3,"Boundary","",,"posterior",-73264.5,0.0000031249
3,"Boundary","",,"posterior",-73259.5,0.000003504
3,"Boundary","",,"posterior",-73254.5,0.0000023674
3,"Boundary","",,"posterior",-73249.5,0.0000031249
3,"Boundary","",,"posterior",-73244.5,0.0000024148
3,"Boundary","",,"posterior",-73239.5,0.0000028409
3,"Boundary","",,"posterior",-73234.5,0.000003267
3,"Boundary","",,"posterior",-73229.5,0.000003172
3,"Boundary","",,"posterior",-73224.5,0.0000026515
3,"Boundary","",,"posterior",-73219.5,0.0000026988
3,"Boundary","",,"posterior",-73214.5,0.000003504
3,"Boundary","",,"posterior",-73209.5,0.0000018466
3,"Boundary","",,"posterior",-73204.5,0.0000026042
3,"Boundary","",,"posterior",-73199.5,0.0000026988
3,"Boundary","",,"posterior",-73194.5,0.0000026042
3,"Boundary","",,"posterior",-73189.5,0.0000031249
3,"Boundary","",,"posterior",-73184.5,0.0000025568
3,"Boundary","",,"posterior",-73179.5,0.000003314
3,"Boundary","",,"posterior",-73174.5,0.0000026988
3,"Boundary","",,"posterior",-73169.5,0.0000026515
3,"Boundary","",,"posterior",-73164.5,0.000002178
3,"Boundary","",,"posterior",-73159.5,0.0000024148
3,"Boundary","",,"posterior",-73154.5,0.0000026988
3,"Boundary","",,"posterior",-73149.5,0.0000022727
3,"Boundary","",,"posterior",-73144.5,0.00000322
3,"Boundary","",,"posterior",-73139.5,0.0000031249
3,"Boundary","",,"posterior",-73134.5,0.00000322
3,"Boundary","",,"posterior",-73129.5,0.0000024148
3,"Boundary","",,"posterior",-73124.5,0.0000024148
3,"Boundary","",,"posterior",-73119.5,0.0000020833
3,"Boundary","",,"posterior",-73114.5,0.0000021307
3,"Boundary","",,"posterior",-73109.5,0.0000024621
3,"Boundary","",,"posterior",-73104.5,0.0000022254
3,"Boundary","",,"posterior",-73099.5,0.0000028882
3,"Boundary","",,"posterior",-73094.5,0.0000023674
3,"Boundary","",,"posterior",-73089.5,0.0000025568
3,"Boundary","",,"posterior",-73084.5,0.0000026042
3,"Boundary","",,"posterior",-73079.5,0.0000025094
3,"Boundary","",,"posterior",-73074.5,0.000002036
3,"Boundary","",,"posterior",-73069.5,0.000003456
3,"Boundary","",,"posterior",-73064.5,0.0000022254
3,"Boundary","",,"posterior",-73059.5,0.0000028409
3,"Boundary","",,"posterior",-73054.5,0.0000025568
3,"Boundary","",,"posterior",-73049.5,0.0000027936
3,"Boundary","",,"posterior",-73044.5,0.0000023674
3,"Boundary","",,"posterior",-73039.5,0.0000030303
3,"Boundary","",,"posterior",-73034.5,0.0000022254
3,"Boundary","",,"posterior",-73029.5,0.0000024621
3,"Boundary","",,"posterior",-73024.5,0.0000026988
3,"Boundary","",,"posterior",-73019.5,0.0000027936
3,"Boundary","",,"posterior",-73014.5,0.0000029355
3,"Boundary","",,"posterior",-73009.5,0.0000027462
3,"Boundary","",,"posterior",-73004.5,0.0000026515
3,"Boundary","",,"posterior",-72999.5,0.000003693
3,"Boundary","",,"posterior",-72994.5,0.0000023201
3,"Boundary","",,"posterior",-72989.5,0.0000022254
3,"Boundary","",,"posterior",-72984.5,0.0000024621
3,"Boundary","",,"posterior",-72979.5,0.0000027462
3,"Boundary","",,"posterior",-72974.5,0.0000029355
3,"Boundary","",,"posterior",-72969.5,0.0000023201
3,"Boundary","",,"posterior",-72964.5,0.0000023201
3,"Boundary","",,"posterior",-72959.5,0.0000024621
3,"Boundary","",,"posterior",-72954.5,0.0000023674
3,"Boundary","",,"posterior",-72949.5,0.0000029355
3,"Boundary","",,"posterior",-72944.5,0.000002983
3,"Boundary","",,"posterior",-72939.5,0.0000023674
3,"Boundary","",,"posterior",-72934.5,0.0000025094
3,"Boundary","",,"posterior",-72929.5,0.0000025094
3,"Boundary","",,"posterior",-72924.5,0.0000027462
3,"Boundary","",,"posterior",-72919.5,0.0000025094
3,"Boundary","",,"posterior",-72914.5,0.0000026988
3,"Boundary","",,"posterior",-72909.5,0.0000026988
3,"Boundary","",,"posterior",-72904.5,0.000003172
3,"Boundary","",,"posterior",-72899.5,0.00000322
3,"Boundary","",,"posterior",-72894.5,0.0000026515
3,"Boundary","",,"posterior",-72889.5,0.000003172
3,"Boundary","",,"posterior",-72884.5,0.000003741
3,"Boundary","",,"posterior",-72879.5,0.0000027462
3,"Boundary","",,"posterior",-72874.5,0.0000029355
3,"Boundary","",,"posterior",-72869.5,0.0000026988
3,"Boundary","",,"posterior",-72864.5,0.0000026515
3,"Boundary","",,"posterior",-72859.5,0.0000026515
3,"Boundary","",,"posterior",-72854.5,0.0000024621
3,"Boundary","",,"posterior",-72849.5,0.0000022727
3,"Boundary","",,"posterior",-72844.5,0.0000027936
3,"Boundary","",,"posterior",-72839.5,0.0000024621
3,"Boundary","",,"posterior",-72834.5,0.000003267
3,"Boundary","",,"posterior",-72829.5,0.0000026988
3,"Boundary","",,"posterior",-72824.5,0.000002983
3,"Boundary","",,"posterior",-72819.5,0.0000026042
3,"Boundary","",,"posterior",-72814.5,0.0000028882
3,"Boundary","",,"posterior",-72809.5,0.000003314
3,"Boundary","",,"posterior",-72804.5,0.000002983
3,"Boundary","",,"posterior",-72799.5,0.000002036
3,"Boundary","",,"posterior",-72794.5,0.0000027462
3,"Boundary","",,"posterior",-72789.5,0.0000027462
3,"Boundary","",,"posterior",-72784.5,0.0000026042
3,"Boundary","",,"posterior",-72779.5,0.000003267
3,"Boundary","",,"posterior",-72774.5,0.000002178
3,"Boundary","",,"posterior",-72769.5,0.0000027462
3,"Boundary","",,"posterior",-72764.5,0.0000025568
3,"Boundary","",,"posterior",-72759.5,0.0000027936
3,"Boundary","",,"posterior",-72754.5,0.0000024148
3,"Boundary","",,"posterior",-72749.5,0.0000030776
3,"Boundary","",,"posterior",-72744.5,0.000003362
3,"Boundary","",,"posterior",-72739.5,0.0000028409
3,"Boundary","",,"posterior",-72734.5,0.0000029355
3,"Boundary","",,"posterior",-72729.5,0.0000026988
3,"Boundary","",,"posterior",-72724.5,0.0000017992
3,"Boundary","",,"posterior",-72719.5,0.0000019886
3,"Boundary","",,"posterior",-72714.5,0.0000022254
3,"Boundary","",,"posterior",-72709.5,0.0000023201
3,"Boundary","",,"posterior",-72704.5,0.0000027936
3,"Boundary","",,"posterior",-72699.5,0.0000026042
3,"Boundary","",,"posterior",-72694.5,0.0000025094
3,"Boundary","",,"posterior",-72689.5,0.0000022254
3,"Boundary","",,"posterior",-72684.5,0.0000027936
3,"Boundary","",,"posterior",-72679.5,0.0000022254
3,"Boundary","",,"posterior",-72674.5,0.0000028882
3,"Boundary","",,"posterior",-72669.5,0.000002983
3,"Boundary","",,"posterior",-72664.5,0.000003172
3,"Boundary","",,"posterior",-72659.5,0.0000026988
3,"Boundary","",,"posterior",-72654.5,0.0000029355
3,"Boundary","",,"posterior",-72649.5,0.0000020833
3,"Boundary","",,"posterior",-72644.5,0.0000019413
3,"Boundary","",,"posterior",-72639.5,0.0000023201
3,"Boundary","",,"posterior",-72634.5,0.0000024621
3,"Boundary","",,"posterior",-72629.5,0.0000027462
3,"Boundary","",,"posterior",-72624.5,0.0000027936
3,"Boundary","",,"posterior",-72619.5,0.000003409
3,"Boundary","",,"posterior",-72614.5,0.0000028409
3,"Boundary","",,"posterior",-72609.5,0.0000029355
3,"Boundary","",,"posterior",-72604.5,0.0000029355
3,"Boundary","",,"posterior",-72599.5,0.000003835
3,"Boundary","",,"posterior",-72594.5,0.0000031249
3,"Boundary","",,"posterior",-72589.5,0.0000027936
3,"Boundary","",,"posterior",-72584.5,0.000002983
3,"Boundary","",,"posterior",-72579.5,0.0000029355
3,"Boundary","",,"posterior",-72574.5,0.0000030776
3,"Boundary","",,"posterior",-72569.5,0.0000030776
3,"Boundary","",,"posterior",-72564.5,0.0000026515
3,"Boundary","",,"posterior",-72559.5,0.0000023201
3,"Boundary","",,"posterior",-72554.5,0.0000028882
3,"Boundary","",,"posterior",-72549.5,0.000002178
3,"Boundary","",,"posterior",-72544.5,0.000002178
3,"Boundary","",,"posterior",-72539.5,0.0000028409
3,"Boundary","",,"posterior",-72534.5,0.0000026042
3,"Boundary","",,"posterior",-72529.5,0.0000028409
3,"Boundary","",,"posterior",-72524.5,0.0000029355
3,"Boundary","",,"posterior",-72519.5,0.0000028882
3,"Boundary","",,"posterior",-72514.5,0.0000030776
3,"Boundary","",,"posterior",-72509.5,0.0000028882
3,"Boundary","",,"posterior",-72504.5,0.0000028409
3,"Boundary","",,"posterior",-72499.5,0.0000022254
3,"Boundary","",,"posterior",-72494.5,0.0000030776
3,"Boundary","",,"posterior",-72489.5,0.0000030776
3,"Boundary","",,"posterior",-72484.5,0.0000023674
3,"Boundary","",,"posterior",-72479.5,0.0000024148
3,"Boundary","",,"posterior",-72474.5,0.0000025094
3,"Boundary","",,"posterior",-72469.5,0.0000026988
3,"Boundary","",,"posterior",-72464.5,0.0000023201
3,"Boundary","",,"posterior",-72459.5,0.0000024148
3,"Boundary","",,"posterior",-72454.5,0.0000030776
3,"Boundary","",,"posterior",-72449.5,0.0000025568
3,"Boundary","",,"posterior",-72444.5,0.0000027462
3,"Boundary","",,"posterior",-72439.5,0.0000024621
3,"Boundary","",,"posterior",-72434.5,0.0000027462
3,"Boundary","",,"posterior",-72429.5,0.0000028882
3,"Boundary","",,"posterior",-72424.5,0.0000026042
3,"Boundary","",,"posterior",-72419.5,0.0000030776
3,"Boundary","",,"posterior",-72414.5,0.0000024148
3,"Boundary","",,"posterior",-72409.5,0.0000026042
3,"Boundary","",,"posterior",-72404.5,0.0000022727
3,"Boundary","",,"posterior",-72399.5,0.0000025568
3,"Boundary","",,"posterior",-72394.5,0.0000023674
3,"Boundary","",,"posterior",-72389.5,0.000002178
3,"Boundary","",,"posterior",-72384.5,0.000002983
3,"Boundary","",,"posterior",-72379.5,0.000003172
3,"Boundary","",,"posterior",-72374.5,0.0000028409
3,"Boundary","",,"posterior",-72369.5,0.0000028409
3,"Boundary","",,"posterior",-72364.5,0.000003362
