Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMP23-39837	NSF-19-01	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1		5/17/2019	y
LACMP23-39838	NSF-19-02	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2019	y
LACMP23-39839	NSF-19-03	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1		5/17/2019	y
LACMP23-39840	NSF-19-04	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2019	y
LACMP23-39841	NSF-19-05	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1	juv	5/17/2019	y
LACMP23-39842	NSF-19-06	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y
LACMP23-39843	NSF-19-07	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y
LACMP23-39844	NSF-19-08	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y
LACMP23-39845	NSF-19-09	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y
LACMP23-39846	NSF-19-10	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y
LACMP23-39847	NSF-19-11	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	?Microtus	sp	lower rt m1 frag	strange re-entrant		y
LACMP23-39848	NSF-19-12	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y
LACMP23-39849	NSF-19-13	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag			y
LACMP23-39850	NSF-19-14	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y
LACMP23-39851	NSF-19-15	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1 frag			y
LACMP23-39852	NSF-19-16	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2	juv?		y
LACMP23-39853	NSF-19-17	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y
LACMP23-39854	NSF-19-18	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m3			y
LACMP23-39855	NSF-19-19	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	?Microtus	sp	molar frag			y
LACMP23-39856	NSF-19-20	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-39857	NSF-19-21	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-39858	NSF-19-22	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt dentary	no teeth		y
LACMP23-39859	NSF-19-23	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3 frag			y
LACMP23-39860	NSF-19-24	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-39861	NSF-19-25	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2			y
LACMP23-39862	NSF-19-26	A3/L3	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower lt m1/m2			y
LACMP23-39863	NSF-19-27	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2			y
LACMP23-39864	NSF-19-28	A3/L3	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower (lt?) m1/m2			y
LACMP23-39865	NSF-19-29	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m1/m2			y
LACMP23-40404	NSF-19-30	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. californicus	lower rt m1	anteroconid grade 2; large - compariable in size w/ P. californicus	2/20/2020	y
LACMP23-40405	NSF-19-31	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m1	small anteroconid grade 0, intermediate in size b/w P_man and Reithro	7/29/2019	y
LACMP23-40406	NSF-19-32	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper rt M1	small anteroloph	7/29/2019	y
LACMP23-40407	NSF-19-33	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper rt M1	weathered	7/29/2019	y
LACMP23-40408	NSF-19-34	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y
LACMP23-40409	NSF-19-35	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper lt M1	moderate anteroloph	7/29/2019	y
LACMP23-40410	NSF-19-36	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2		7/29/2019	y
LACMP23-40411	NSF-19-37	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper rt M1	moderate anteroloph	7/29/2019	y
LACMP23-40412	NSF-19-38	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	7/29/2019	y
LACMP23-40413	NSF-19-39	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0	7/29/2019	y
LACMP23-40414	NSF-19-40	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	worn, broken in two frags	7/29/2019	y
LACMP23-39866	NSF-19-41	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39867	NSF-19-42	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y
LACMP23-39868	NSF-19-43	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39869	NSF-19-44	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-39870	NSF-19-45	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39871	NSF-19-46	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y
LACMP23-39872	NSF-19-47	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39873	NSF-19-48	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39874	NSF-19-49	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower rt p3	subadult?	8/13/2019	y
LACMP23-39875	NSF-19-50	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-39876	NSF-19-51	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-39877	NSF-19-52	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-39878	NSF-19-53	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth			y
LACMP23-39879	NSF-19-54	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39880	NSF-19-55	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y
LACMP23-39881	NSF-19-56	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y
LACMP23-39882	NSF-19-57	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39883	NSF-19-58	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39884	NSF-19-59	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39885	NSF-19-60	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39886	NSF-19-61	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth			y
LACMP23-39887	NSF-19-62	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39888	NSF-19-63	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39889	NSF-19-64	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39890	NSF-19-65	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower p3 frag			y
LACMP23-39891	NSF-19-66	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39892	NSF-19-67	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39893	NSF-19-68	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39894	NSF-19-69	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3			y
LACMP23-39895	NSF-19-70	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth 			y
LACMP23-39896	NSF-19-71	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39897	NSF-19-72	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag	waterworn		y
LACMP23-39898	NSF-19-73	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-39899	NSF-19-74	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-39900	NSF-19-75	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-39901	NSF-19-76	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M3			y
LACMP23-39902	NSF-19-77	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3 frag			y
LACMP23-40536	NSF-19-78	A3/L3	Mammalia	Carnivora	Canidae		Canis	latrans	rt dp2 frag		8/2/2019	y
LACMP23-39903	NSF-19-79	A3/L3	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	upper lt P4 frag			y
LACMP23-39904	NSF-19-80	A3/L3	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	rt I3		2/26/2019	y
LACMP23-39905	NSF-19-81	A3/L3	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	upper rt M1			y
LACMP23-40537	NSF-19-82	A3/L3	Mammalia	Carnivora					Incisor frag		8/2/2019	n
LACMP23-39906	NSF-19-84	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m1/m2			y
LACMP23-39907	NSF-19-85	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt P4 			y
LACMP23-39908	NSF-19-86	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m1/m2			y
LACMP23-39909	NSF-19-87	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m1/m2			y
LACMP23-39910	NSF-19-88	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	partial lower rt molar			y
LACMP23-39911	NSF-19-89	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt p4			y
LACMP23-39912	NSF-19-90	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m3			y
LACMP23-39913	NSF-19-91	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae			lower lt p4	small for beechyi		y
LACMP23-39914	NSF-19-92	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m1/m2			y
LACMP23-39915	NSF-19-93	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt p4			y
LACMP23-39916	NSF-19-94	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m3			y
LACMP23-39917	NSF-19-95	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	partial lower lt molar			y
LACMP23-39918	NSF-19-96	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt P4			y
LACMP23-40415	NSF-19-97	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt dentary w/ m2		7/29/2019	y
LACMP23-40416	NSF-19-98	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. californicus	upper rt m2	large - ~Pcal size	2/20/2020	y
LACMP23-40417	NSF-19-99	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae			lower molar	broken in 2 frags, worn		y
LACMP23-39919	NSF-19-100	A3/L3	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	partial upper M1/M2			y
LACMP23-39920	NSF-19-101	A3/L3	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower lt m1/m2			y
LACMP23-39921	NSF-19-102	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y
LACMP23-39922	NSF-19-103	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-39923	NSF-19-104	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-39924	NSF-19-105	A3/L3	Mammalia	Rodentia	Geomyidae	Thomomyinae	?Thomomys	sp	molar frag			y
LACMP23-39925	NSF-19-106	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-39926	NSF-19-107	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial upper rt M1			y
LACMP23-39927	NSF-19-108	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2	juv?		y
LACMP23-39928	NSF-19-109	A3/L3	Mammalia	Rodentia	?Sciuridae				lower tooth frag			y
LACMP23-39929	NSF-19-110	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower rt p3 frag	water-worn	11/16/2019	y
LACMP23-39930	NSF-19-111	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt p3	simple-moderate crenulation, juv		y
LACMP23-39931	NSF-19-112	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39932	NSF-19-113	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39933	NSF-19-114	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39934	NSF-19-115	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth frag			y
LACMP23-39935	NSF-19-116	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39936	NSF-19-117	A3/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y
LACMP23-39937	NSF-19-118	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3 frag			y
LACMP23-39938	NSF-19-119	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3 frag			y
LACMP23-39939	NSF-19-120	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-39940	NSF-19-121	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-39941	NSF-19-122	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt P4			y
LACMP23-39942	NSF-19-123	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			partial upper lt M1/M2	square/spatulate-shaped, large		y
LACMP23-39943	NSF-19-124	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt M1/M2			y
LACMP23-39944	NSF-19-125	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt M3	worn		y
LACMP23-39945	NSF-19-126	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower lt p4	juv		y
LACMP23-39946	NSF-19-127	A3/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Neotamias/Tamias	sp	upper rt M1/M2			y
LACMP23-39947	NSF-19-128	A3/L1	Mammalia	Rodentia	?Sciuridae	Xerinae			tooth frag			y
LACMP23-39948	NSF-19-129	A3/L1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	rt P3		2/26/2019	y
LACMP23-39949	NSF-19-130	A3/L1	Mammalia	Carnivora	Mephitidae		?Mephitis	mephitis	lower lt incisor		2/26/2019	n
LACMP23-39950	NSF-19-131	A3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower m1/m2	weathered		y
LACMP23-39951	NSF-19-132	A3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	partial lower m1/m2			y
LACMP23-39952	NSF-19-133	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-39953	NSF-19-134	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-39954	NSF-19-135	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-40418	NSF-19-136	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph	7/29/2019	y
LACMP23-40419	NSF-19-137	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	surface covered, m1 grade 1+	7/29/2019	y
LACMP23-40420	NSF-19-138	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	surace covered	7/29/2019	y
LACMP23-40421	NSF-19-139	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	surface covered, m1 grade 0	7/29/2019	y
LACMP23-40422	NSF-19-140	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2		7/29/2019	y
LACMP23-40423	NSF-19-141	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2		7/29/2019	y
LACMP23-39955	NSF-19-142	A3/L1	Mammalia	Lagomorpha	Leporidae				lower m3	large for Sylvilagus		y
LACMP23-39956	NSF-19-143	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		2/5/2019	y
LACMP23-39957	NSF-19-144	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	molar frag			y
LACMP23-39958	NSF-19-145	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-39959	NSF-19-146	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39960	NSF-19-147	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39961	NSF-19-148	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-39962	NSF-19-149	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39963	NSF-19-150	A2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y
LACMP23-39964	NSF-19-151	A2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y
LACMP23-39965	NSF-19-152	A2/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper M1/M2			y
LACMP23-39966	NSF-19-153	A2/L1	Mammalia	Rodentia	?Geomyidae				molar	juv?	2/5/2019	y
LACMP23-39967	NSF-19-154	A2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y
LACMP23-40424	NSF-19-155	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0; juv? - large if juv	7/29/2019	y
LACMP23-40425	NSF-19-156	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	small accessory loph	7/29/2019	y
LACMP23-40426	NSF-19-157	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y
LACMP23-40427	NSF-19-158	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	partial rt dentary		7/29/2019	y
LACMP23-40428	NSF-19-159	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	rt maxilla frag		7/29/2019	y
LACMP23-40539	NSF-19-160	A2/L1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	rt P4 frag		7/29/2019	y
LACMP23-39968	NSF-19-161	A2/L1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt p4			y
LACMP23-39969	NSF-19-162	A2/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower p4 frag			y
LACMP23-39970	NSF-19-163	A2/L1	Mammalia	Rodentia	?Sciuridae				tooth frag			y
LACMP23-39971	NSF-19-164	A2/L1	Mammalia	Eulipotyphla	Soricidae	Soricinae			posterior lt dentary w/ m2			y
LACMP23-39973	NSF-19-165	A2/L1	Mammalia	Rodentia	?Sciuridae				tooth frag			y
LACMP23-39974	NSF-19-166	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-39975	NSF-19-167	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-39976	NSF-19-168	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt P2			y
LACMP23-39977	NSF-19-169	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39978	NSF-19-170	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt p3			y
LACMP23-39979	NSF-19-171	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39980	NSF-19-172	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39981	NSF-19-173	B2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
