Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision
LACMP23-6803	RLB-17-01		Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary w/ p3-m1		
LACMP23-6811	RLB-17-02		Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt dentary	all cheek teeth present 	
LACMP23-6813	RLB-17-03		Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt anterior dentary w/ p3-m2		
LACMP23-31030	RLB-17-04	C3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary w/ p3-m2		
LACMP23-31031	RLB-17-05	C3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf audubonii	rt anterior dentary w/ p3-m2		
LACMP23-31032	RLB-17-06	B3/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary w/ p3-m2		
LACMP23-31033	RLB-17-07	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary w/ p3-m2		
LACMP23-31034	RLB-17-08	D3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt anterior dentary w/ p3-m2	juv.?	
LACMP23-31035	RLB-17-09	D2/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary w/ p3-m1		
LACMP23-31036	RLB-17-10	C2/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	bachmani	rt anterior dentary w/ p3-m1		
LACMP23-31037	RLB-17-11	C3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt anterior dentary w/ p3-m1	juv.?	
LACMP23-31038	RLB-17-12	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt anterior dentary	all cheek teeth present 	
LACMP23-31039	RLB-17-13	C2/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf audubonii	rt anterior dentary 	all cheek teeth present 	
LACMP23-31040	RLB-17-14	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf audubonii	rt anterior dentary frag	partial p3, juv.?	
LACMP23-31041	RLB-17-15	D2/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt anterior dentary frag 	p3+p4, juv.?	
LACMP23-31043	RLB-17-16	C2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary frag	p3+p4 	
LACMP23-31048	RLB-17-17	C2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt anterior dentary frag	all cheek teeth 	
LACMP23-31051	RLB-17-18	B2/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt anterior dentary w/ p3-m2		
LACMP23-31052	RLB-17-19	B3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary 	partial p3-m2 	
LACMP23-31053	RLB-17-20	B3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt dentary frag w/ p3-m2		
LACMP23-31054	RLB-17-21	C3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt dentary w/ p3-m2		
LACMP23-31055	RLB-17-22	C3/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	rt dentary frag w/ p3-m2		
LACMP23-31056	RLB-17-23	D3/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary w/ p3-m2		
LACMP23-31082	RLB-17-24	D2/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf bachmani	fraged dentary w/ p3-m2		
LACMP23-31083	RLB-17-25	D3/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	fraged dentary	partial p3 + p4-m2	
LACMP23-31016	RLB-17-26	D2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt dentary w/p3-m2 +i		
LACMP23-33230	RLB-17-36	misc	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt ant. dentary w/ p3-m1		
LACMP23-33231	RLB-17-37	misc	Mammalia	Lagomorpha	Leporidae		Sylvilagus	bachmani	lt ant. dentary w/ p3-m2		
LACMP23-33235	RLB-17-38	misc	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	rt dentary w/ p4-m1 + incisor		
LACMP23-33232	RLB-17-39	misc	Mammalia	Rodentia	Geomyidae		Thomomys	sp	rt dentary	no teeth	
LACMP23-33233	RLB-17-40	misc	Mammalia	Rodentia	Cricetidae		Neotoma	sp	rt dentary	no teeth	
LACMP23-33234	RLB-17-41	misc	Mammalia	Rodentia	Cricetidae		Microtus	sp	upper palate w/ rt M1-M2		
LACMP23-33236	RLB-17-42	misc	Mammalia	Carnivora	Mephitidae		Spilogale	gracilis	partial rt dentary w/ m1		
LACMP23-31113		D3/L5	Mammalia	Rodentia	Sciuridae		?Otospermophilus	beecheyi	rt dentary w/ i1		4/2/2019
LACMP23-31115		D3/L6	Mammalia	Rodentia	Sciuridae		?Otospermophilus	beecheyi	rt dentary 		4/2/2019
LACMP23-31118		C3/L4	Mammalia	Rodentia	Sciuridae		?Otospermophilus	beecheyi	rt dentary 		4/2/2019
LACMP23-40634			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	dist lt humerus	juv?	
LACMP23-40635			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	dist lt humerus	juv?	
LACMP23-40636			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	dist lt humerus	juv?	
LACMP23-40637			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	rt humerus	juv	
LACMP23-40638			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	rt distal humerus	juv?	
LACMP23-40639			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	rt distal humerus		
LACMP23-40640			Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	rt distal humerus		
LACMP23-40641			Mammalia	Lagomorpha	Leporidae		Neotoma 	sp	proximal rt femur		
LACMP23-40642			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt maxilla		
LACMP23-40643			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	dist lt humerus		
LACMP23-40644			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	dist rt humerus		
LACMP23-40645			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	proximal lt femur, juv		
LACMP23-40646			Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt dentary w/ p4-m2		
LACMP23-40647			Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt dentary w/p3-m2		
