Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31525	NSF-17-25	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper lt M2			y					
LACMP23-31526	NSF-17-26	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	lower rt m2			y					
LACMP23-31527	NSF-17-27	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	molar frag			y					
LACMP23-31528	NSF-17-28	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper rt M3			y					
LACMP23-31529	NSF-17-29	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper rt M1			y					
LACMP23-31530	NSF-17-30	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper lt M2			y					
LACMP23-31531	NSF-17-31	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	lower rt m2	gracile for Microtus, juv?		y					
LACMP23-31532	NSF-17-32	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	molar frag	juv		y					
LACMP23-31533	NSF-17-33	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper rt M2			y					
LACMP23-31534	NSF-17-34	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper rt M1			y					
LACMP23-31535	NSF-17-35	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	lower rt m2	gracile for Microtus, juv		y					
LACMP23-31536	NSF-17-36	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper rt M2			y					
LACMP23-31537	NSF-17-37	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	partial lower lt m1			y					
LACMP23-31538	NSF-17-38	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper lt M1			y					
LACMP23-31539	NSF-17-39	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	lower rt m2			y					
LACMP23-31540	NSF-17-40	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	lower lt m1		5/17/2020	y					
LACMP23-31541	NSF-17-41	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	lower lt m1		5/17/2020	y					
