Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31679	NSF-17-179	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt? tooth			y					
LACMP23-31680	NSF-17-180	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt P2			y					
LACMP23-31681	NSF-17-181	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth	juv		y					
LACMP23-31682	NSF-17-182	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y					
LACMP23-31683	NSF-17-183	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	upper M3			y					
LACMP23-31684	NSF-17-184	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth			y					
LACMP23-31685	NSF-17-185	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth	juv		y					
LACMP23-31686	NSF-17-186	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y					
LACMP23-31687	NSF-17-187	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth 	juv		y					
LACMP23-31688	NSF-17-188	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	broken tooth	3 frags		y					
LACMP23-31689	NSF-17-189	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y					
LACMP23-31690	NSF-17-190	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y					
LACMP23-31691	NSF-17-191	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	partial upper tooth			y					
LACMP23-31692	NSF-17-192	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper M3			y					
LACMP23-31693	NSF-17-193	C3/L5	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	upper lt M1/M2			y					
LACMP23-31694	NSF-17-194	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower lt m1			y					
LACMP23-31695	NSF-17-195	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	upper lt M1/M2			y					
LACMP23-31696	NSF-17-196	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	lower rt m1			y					
LACMP23-31697	NSF-17-197	C3/L5	Mammalia	Rodentia	Geomyidae	Dipodomyinae	?Dipodomys	sp	partial tooth			y					
LACMP23-31698	NSF-17-198	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	molar			y					
LACMP23-31699	NSF-17-199	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar	3/4/2020		y					
LACMP23-31700	NSF-17-200	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower rt p4			y					
LACMP23-31701	NSF-17-201	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	tooth	juv		y					
LACMP23-31702	NSF-17-202	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	tooth	juv		y					
LACMP23-31703	NSF-17-203	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	tooth	poorly preserved		y					
LACMP23-31704	NSF-17-204	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	tooth	juv		y					
LACMP23-31705	NSF-17-205	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower m3			y					
LACMP23-31706	NSF-17-206	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	tooth	juv		y					
LACMP23-31707	NSF-17-207	C3/L5	Mammalia	Rodentia					worn tooth			n					
LACMP23-31708	NSF-17-208	C3/L5	Mammalia	Rodentia	?Heteromyidae				tooth	juv?		y					
LACMP23-31709	NSF-17-209	C3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper rt P4	juv, broken in two frags	3/4/2020	y					
LACMP23-31710	NSF-17-210	C3/L5	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m3			y					
LACMP23-31711	NSF-17-211	C3/L5	Mammalia	Eulipotyphla	Soricidae	Soricinae			upper rt M1			y					
LACMP23-31712	NSF-17-212	C3/L5	Mammalia	Eulipotyphla	Soricidae	Soricinae			dentary frag			y					
LACMP23-31713	NSF-17-213	C3/L5	Mammalia	Carnivora	Mephitidae		?Spilogale	gracilis	partial upper lt P3		9/27/2018	y					
LACMP23-31714	NSF-17-214	C3/L5	Mammalia	Rodentia	Sciuridae	Xerinae			upper molar frag		1/29/2019	y					
LACMP23-31715	NSF-17-215	C3/L5	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31716	NSF-17-216	C3/L5	Mammalia	Rodentia	Cricetidae	?Neotominae			dentary frag			y					
LACMP23-31717	NSF-17-217	C3/L5	Mammalia	Rodentia					upper incisors and premax	both sides attached		n					
Did Not Catalog	NSF-17-218	C3/L5	Mammalia	?Eulipotyphla					unicuspids?	several tooth frags	1/29/2019	n					
LACMP23-31718	NSF-17-219	C3/L5	Mammalia	Lagomorpha	Leporidae				tooth frag			y					
LACMP23-31719	NSF-17-220	C3/L5	Mammalia	Carnivora	Leporidae				tooth frag			y					
LACMP23-31720	NSF-17-221	C3/L5	Mammalia	Lagomorpha	Leporidae				tooth frag			y					
LACMP23-31721	NSF-17-222	B3/L5	Mammalia	Lagomorpha	Leporidae				upper lt tooth	small for Lepus, very large for Sylvilagus	7/19/2020	y					
LACMP23-31722	NSF-17-223	B3/L5	Mammalia	Lagomorpha	Leporidae				upper rt tooth	small for Lepus, very large for Sylvilagus	7/19/2020	y					
LACMP23-31723	NSF-17-224	B3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	lt maxillary frag w/ p3			y					
LACMP23-31724	NSF-17-225	B3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	maxillary frag			y					
LACMP23-31725	NSF-17-226	B3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	upper tooth frag			y					
LACMP23-31726	NSF-17-227	B3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lower tooth	juv		y					
LACMP23-31727	NSF-17-228	B3/L5	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	rt dentary with incisor	juv?	8/6/2019	y					
LACMP23-31728	NSF-17-229	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt dentary w/ i1-m3	intermediate in size b/w Pman and Pcal, grade 0	8/6/2019	y					
LACMP23-31729	NSF-17-230	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	rt dentary w/o teeth		10/1/2018	y					
LACMP23-31730	NSF-17-231	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	rt dentary frag w/o teeth		10/1/2018	y					
LACMP23-31731	NSF-17-232	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	rt dentary w/o teeth	~Pman sized	08/06/2019	y					
LACMP23-31732	NSF-17-233	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary w/o teeth			y					
LACMP23-31733	NSF-17-234	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary w/o teeth			y					
LACMP23-31734	NSF-17-235	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary w/o teeth			y					
LACMP23-31735	NSF-17-236	B3/L5	Mammalia	Rodentia	Cricetidae	?Neotominae			lt maxillary frag			y					
LACMP23-31736	NSF-17-237	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31737	NSF-17-238	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1		8/6/2019	y					
LACMP23-31738	NSF-17-239	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	lower lt m1	small anteroconid, grade 0	8/6/2019	y					
LACMP23-31739	NSF-17-240	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31740	NSF-17-241	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2			y					
LACMP23-31741	NSF-17-242	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2		1/29/2019	y					
LACMP23-31742	NSF-17-243	B3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31743	NSF-17-244	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	lt maxillary frag			y					
LACMP23-31744	NSF-17-245	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1			y					
LACMP23-31745	NSF-17-246	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-31746	NSF-17-247	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y					
LACMP23-31747	NSF-17-248	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31748	NSF-17-249	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M3			y					
LACMP23-31749	NSF-17-250	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31750	NSF-17-251	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-31751	NSF-17-252	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-31752	NSF-17-253	B3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m3			y					
LACMP23-31753	NSF-17-254	B3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys 	sp	lower rt p4 frag	juv	1/17/2019	y					
LACMP23-31754	NSF-17-255	B3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys 	sp	lower rt m1/m2	2 frags		y					
LACMP23-31755	NSF-17-256	B3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys 	sp	molar		3/4/2020	y					
LACMP23-31756	NSF-17-257	B3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys 	sp	tooth 	juv		y					
LACMP23-31757	NSF-17-258	B3/L5	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31758	NSF-17-259	B3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys 	sp	lower lt m2			y					
LACMP23-31759	NSF-17-260	B3/L5	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys 	sp	partial lower tooth			y					
LACMP23-31760	NSF-17-261	B3/L5	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt P4			y					
LACMP23-31761	NSF-17-262	B3/L5	Mammalia	Rodentia					premaxilla w/ incisor	2 frags		n					
LACMP23-31762	NSF-17-263	D2/L4	Mammalia	Lagomorpha	Leporidae				upper rt tooth	small for Lepus, very large for Sylvilagus	7/19/2020	y					
LACMP23-31763	NSF-17-264	D2/L4	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	lt anterior dentary frag			y					
LACMP23-31764	NSF-17-265	D2/L4	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	rt anterior dentary frag			y					
LACMP23-31765	NSF-17-266	D2/L4	Mammalia	Lagomorpha	Leporidae				maxillary frag			y					
LACMP23-31766	NSF-17-267	D2/L4	Mammalia	Lagomorpha	Leporidae				dentary frag			y					
LACMP23-31767	NSF-17-268	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y					
LACMP23-31768	NSF-17-269	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial upper tooth			y					
LACMP23-31769	NSF-17-270	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y					
LACMP23-31770	NSF-17-271	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y					
LACMP23-31771	NSF-17-272	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial upper tooth			y					
LACMP23-31772	NSF-17-273	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2	worn		y					
LACMP23-31773	NSF-17-274	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial upper tooth			y					
LACMP23-31774	NSF-17-275	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt P2			y					
LACMP23-31775	NSF-17-276	D2/L4	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	upper tooth frag			y					
LACMP23-31776	NSF-17-277	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth	juv		y					
LACMP23-31777	NSF-17-278	D2/L4	Mammalia	Lagomorpha	Leporidae				tooth frag			y					
LACMP23-31778	NSF-17-279	D2/L4	Mammalia	Lagomorpha	Leporidae				tooth frag			y					
LACMP23-31779	NSF-17-280	D2/L4	Mammalia	Lagomorpha	Leporidae				tooth frag			y					
LACMP23-31780	NSF-17-281	D2/L4	Mammalia	Lagomorpha	Leporidae				tooth frag			y					
LACMP23-31781	NSF-17-282	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower lt p3	Juv	9/13/2018	y					
LACMP23-31782	NSF-17-283	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower lt p3	Juv	3/26/2019	y					
LACMP23-31783	NSF-17-284	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt p3	very juv	1/21/2018	y					
LACMP23-31784	NSF-17-285	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt p3	very juv	1/21/2018	y					
LACMP23-31785	NSF-17-286	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3	worn, digested?		y					
LACMP23-31786	NSF-17-287	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31787	NSF-17-288	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y					
LACMP23-31788	NSF-17-289	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31789	NSF-17-290	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31790	NSF-17-291	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial lower tooth			y					
LACMP23-31791	NSF-17-292	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y					
LACMP23-31792	NSF-17-293	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y					
LACMP23-31793	NSF-17-294	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31794	NSF-17-295	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31795	NSF-17-296	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31796	NSF-17-297	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31797	NSF-17-298	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31798	NSF-17-299	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y					
LACMP23-31799	NSF-17-300	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y					
LACMP23-31800	NSF-17-301	D2/L4	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	lower tooth frag			y					
LACMP23-31801	NSF-17-302	D2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial lower rt tooth			y					
LACMP23-31802	NSF-17-303	D2/L4	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	partial lower tooth			y					
LACMP23-31803	NSF-17-304	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower rt m1/m2			y					
LACMP23-31804	NSF-17-305	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower rt m1/m2			y					
LACMP23-31805	NSF-17-306	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				broken tooth	several frags		y					
LACMP23-31806	NSF-17-307	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower lt m1/m2			y					
LACMP23-31807	NSF-17-308	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	lower molar		3/4/2020	y					
LACMP23-31808	NSF-17-309	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower rt m1/m2			y					
LACMP23-31809	NSF-17-310	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower rt m1/m2			y					
LACMP23-31810	NSF-17-311	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper M1/M2			y					
LACMP23-31811	NSF-17-312	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	lower rt m1/m2			y					
LACMP23-31812	NSF-17-313	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	M3/m3			y					
LACMP23-31813	NSF-17-314	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper rt tooth			y					
LACMP23-31814	NSF-17-315	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4			y					
LACMP23-31815	NSF-17-316	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4			y					
LACMP23-31816	NSF-17-317	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar			y					
LACMP23-31817	NSF-17-318	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	lower molar	worn, digested?		y					
LACMP23-31818	NSF-17-319	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar		3/4/2020	y					
LACMP23-31819	NSF-17-320	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	molar		3/4/2020	y					
LACMP23-31820	NSF-17-321	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	molar		3/4/2020	y					
LACMP23-31821	NSF-17-322	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper lt P4			y					
LACMP23-31822	NSF-17-323	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper tooth			y					
LACMP23-31823	NSF-17-324	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower rt m1/m2			y					
LACMP23-31824	NSF-17-325	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar		3/4/2020	y					
LACMP23-31825	NSF-17-326	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				molar		3/4/2020	y					
LACMP23-31826	NSF-17-327	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar		3/4/2020	y					
LACMP23-31827	NSF-17-328	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	upper rt M1/M2			y					
LACMP23-31828	NSF-17-329	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	?Thomomys	sp	lower rt m1/m2			y					
LACMP23-31829	NSF-17-330	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	?Thomomys	sp	tooth	juv		y					
LACMP23-31830	NSF-17-331	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower lt m1/m2			y					
LACMP23-31831	NSF-17-332	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31832	NSF-17-333	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31833	NSF-17-334	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31834	NSF-17-335	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	partial tooth			y					
LACMP23-31835	NSF-17-336	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31836	NSF-17-337	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31837	NSF-17-338	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	upper rt M1/M2			y					
LACMP23-31838	NSF-17-339	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31839	NSF-17-340	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	tooth			y					
LACMP23-31840	NSF-17-341	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4			y					
LACMP23-31841	NSF-17-342	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	tooth			y					
LACMP23-31842	NSF-17-343	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31843	NSF-17-344	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31844	NSF-17-345	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31845	NSF-17-346	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower p4			y					
LACMP23-31846	NSF-17-347	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31847	NSF-17-348	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31848	NSF-17-349	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31849	NSF-17-350	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31850	NSF-17-351	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31851	NSF-17-352	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31852	NSF-17-353	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31853	NSF-17-354	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31854	NSF-17-355	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31855	NSF-17-356	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31856	NSF-17-357	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31857	NSF-17-358	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31858	NSF-17-359	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31859	NSF-17-360	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31860	NSF-17-361	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y					
LACMP23-31861	NSF-17-362	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31862	NSF-17-363	D2/L4	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y					
LACMP23-31863	NSF-17-364	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2020	y					
LACMP23-31864	NSF-17-365	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower lt m1		1/29/2019	y					
LACMP23-31865	NSF-17-366	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-31866	NSF-17-367	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower lt m1		1/29/2019	y					
LACMP23-31867	NSF-17-368	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31868	NSF-17-369	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31869	NSF-17-370	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower rt m1		1/29/2019	y					
LACMP23-31870	NSF-17-371	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower lt m1		1/29/2019	y					
LACMP23-31871	NSF-17-372	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-31872	NSF-17-373	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-31873	NSF-17-374	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-31874	NSF-17-375	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-31875	NSF-17-376	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt anterior dentary frag	no teeth		y					
LACMP23-31876	NSF-17-377	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y					
LACMP23-31877	NSF-17-378	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
LACMP23-31878	NSF-17-379	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m1			y					
LACMP23-31879	NSF-17-380	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-31880	NSF-17-381	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	rt dentary	no teeth		y					
LACMP23-31881	NSF-17-382	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y					
LACMP23-31882	NSF-17-383	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
