"UCIAMS_Number","Museum_Number","prelim_taxon_name","X14C_age_BP","X14C_age_error","del15N_permil","del13C_permil","repeated","Species","Taxon"
223517,"LACMP23-40638","Sylvilagus sp","36870",500,7.2,-21.4,"N","Sylvilagus sp","Sylvilagus"
223518,"LACMP23-40639","Sylvilagus sp","49800",2500,6.9,-21.7,"N","Sylvilagus sp","Sylvilagus"
198201,"LACMP23-17139","Otospermophilus beecheyi","32500",370,7.6,-20.4,"N","Otospermophilus","Otospermophilus"
198202,"LACMP23-20172","Otospermophilus beecheyi","35900",560,4.4,-21.4,"N","Otospermophilus","Otospermophilus"
198203,"LACMP23-26592","Otospermophilus beecheyi","33100",620,4,-21,"N","Otospermophilus","Otospermophilus"
198204,"LACMP23-30796","Otospermophilus beecheyi","36160",910,3.8,-21.1,"N","Otospermophilus","Otospermophilus"
223524,"LACMV-2641","Sylvilagus sp","28090",180,7.2,-20.9,"N","Sylvilagus sp","Sylvilagus"
223525,"LACMV-2644","Sylvilagus sp","31460",260,8.6,-21.1,"N","Sylvilagus sp","Sylvilagus"
223526,"LACMV-2737","Sylvilagus sp","30540",240,8.1,-21.2,"N","Sylvilagus sp","Sylvilagus"
223527,"LACMV-2751","Sylvilagus sp","35870",450,4.5,-21.3,"N","Sylvilagus sp","Sylvilagus"
223528,"LACMV-4509","Otospermophilus beecheyi","6155",25,4.4,-18.6,"N","Otospermophilus","Otospermophilus"
223529,"LACMV-4519","Otospermophilus beecheyi","28370",180,9.4,-19.3,"N","Otospermophilus","Otospermophilus"
198302,"LACMP23-33228","Otospermophilus beecheyi","30870",270,6.7,-20.2,"N","Otospermophilus","Otospermophilus"
216768,"LACMHC-142773","Sylvilagus audubonii","41000",1100,7.8,-21.8,"N","S. audubonii","Sylvilagus"
216770,"LACMHC-142779","Sylvilagus bachmani","35740",570,6.9,-22.1,"N","S. bachmani","Sylvilagus"
223585,"LACMP23-35541","Sylvilagus sp","39220",460,5.2,-21.4,"N","Sylvilagus sp","Sylvilagus"
223587,"LACMP23-40642","?Otospermophilus beecheyi","26710",110,6.4,-20.3,"N","Otospermophilus","Otospermophilus"
