"UCIAMS_Number","Species","Taxon","del15N_permil","del13C_permil","X14C_age_BP","X14C_age_error","specimen_wage","specimen_wd18O_hendy","specimen_wd18O_ngrip","median_age","d18O_hendy","d18O_ngrip","time_group"
223496,"Otospermophilus","Otospermophilus",6.2,-20.9,"40640",800,-41841.0857603297,1.89852769775575,-41.5457484227341,43759,1.79803703703704,-42.8936,"Pleistocene"
223497,"Sylvilagus sp","Sylvilagus",7,-22,"39240",670,-41004.8216224089,1.94772025388419,-42.2351636538014,42842,2.13454545454545,-41.185,"Pleistocene"
223498,"Otospermophilus","Otospermophilus",8.7,-21.2,"34800",390,-38057.3436450742,1.88606875509454,-39.9650062409079,39991,2.3502,-43.2719,"Pleistocene"
223499,"Sylvilagus sp","Sylvilagus",4.2,-21.5,"33590",340,-36480.9477419739,1.77695295018063,-41.7684654842255,38463,2.0889,-42.4381,"Pleistocene"
223500,"Otospermophilus","Otospermophilus",3.7,-21,"35230",410,-38421.5094175545,2.00368340430746,-41.1842172276144,40378,2.32309090909091,-42.3926,"Pleistocene"
223501,"Otospermophilus","Otospermophilus",3.9,-21.2,"35270",410,-38455.7744991832,2.0185589614648,-41.3130321855071,40416,2.12481818181818,-42.3216,"Pleistocene"
223502,"Sylvilagus sp","Sylvilagus",7.2,-21.4,"44000",1200,-44881.6840097398,1.91602547693852,-41.1916319560267,46639,1.7988843537415,-38.8629,"Pleistocene"
223503,"Sylvilagus sp","Sylvilagus",5.7,-21.4,"46200",1600,-47580.2227933177,1.8448375182848,-40.8492010106035,49221,1.66531067961165,-41.0574,"Pleistocene"
223504,"Otospermophilus","Otospermophilus",6.8,-20.1,"47400",1800,-48809.1048692098,1.78183735236646,-40.8912160280948,50606,1.53438461538462,-40.593,"Pleistocene"
223505,"S. audubonii","Sylvilagus",7.3,-21.9,"33260",320,-36110.7145507258,1.88075251674017,-42.058714494238,38040,1.78425930680359,-38.625,"Pleistocene"
223506,"Sylvilagus sp","Sylvilagus",8.2,-21.2,"36260",470,-39344.4143309125,2.31613983267475,-43.1204278606153,41301,1.76295020746888,-39.8892,"Pleistocene"
223507,"Sylvilagus sp","Sylvilagus",6.4,-22.2,"31230",270,-33685.4218544924,2.19172458721853,-42.0308621393038,35637,2.45139130434783,-42.8126,"Pleistocene"
223508,"Sylvilagus sp","Sylvilagus",9.4,-21.1,"31980",280,-34402.622942637,1.98825216613037,-41.914365294267,36340,1.38171794871795,-42.578,"Pleistocene"
223509,"Otospermophilus","Otospermophilus",6.2,-21.2,"32660",300,-35149.7068703886,1.77664982345124,-40.7575888536625,37045,1.43114705882353,-41.1475,"Pleistocene"
223513,"Sylvilagus sp","Sylvilagus",7.2,-21.3,"25830",140,-28163.3773701321,2.40584912524107,-42.5961695980929,30098,2.4195,-43.5856,"Pleistocene"
223516,"Sylvilagus sp","Sylvilagus",7.9,-20.9,"26780",160,-29040.7304514199,2.22213813965536,-44.4328939405417,31014,2.43491780821918,-43.9358,"Pleistocene"
223517,"Sylvilagus sp","Sylvilagus",7.2,-21.4,"36870",500,-39719.8748326989,2.30508230329424,-42.9112108902742,41688,1.91495833333333,-40.182,"Pleistocene"
223518,"Sylvilagus sp","Sylvilagus",6.9,-21.7,"49800",2500,-50187.3461077707,1.73732465296446,-40.7974909261805,52335,2.36842857142857,-39.3385,"Pleistocene"
198201,"Otospermophilus","Otospermophilus",7.6,-20.4,"32500",370,-35016.9978714261,1.78737505672947,-40.9039513667239,36891,1.512,-41.4168,"Pleistocene"
198202,"Otospermophilus","Otospermophilus",4.4,-21.4,"35900",560,-39013.6998309711,2.2248764079812,-42.6520222895474,40984,1.63379166666667,-43.2542,"Pleistocene"
198203,"Otospermophilus","Otospermophilus",4,-21,"33100",620,-35959.0543399678,1.82935394726382,-41.5151804172593,37879,1.85370218228498,-39.1591,"Pleistocene"
198204,"Otospermophilus","Otospermophilus",3.8,-21.1,"36160",910,-39137.3277954417,2.20391216432307,-42.4077381745413,41138,1.58570833333333,-41.8496,"Pleistocene"
223524,"Sylvilagus sp","Sylvilagus",7.2,-20.9,"28090",180,-30219.9941240831,2.42704212771992,-43.8783351650273,32069,1.79086885245902,-40.0712,"Pleistocene"
223525,"Sylvilagus sp","Sylvilagus",8.6,-21.1,"31460",260,-33864.9273940899,2.26488994830862,-42.4884436551383,35820,2.30918518518519,-43.277,"Pleistocene"
223526,"Sylvilagus sp","Sylvilagus",8.1,-21.2,"30540",240,-32985.1133547151,2.22032061392687,-42.7440513730567,34931,1.59578947368421,-39.8592,"Pleistocene"
223527,"Sylvilagus sp","Sylvilagus",4.5,-21.3,"35870",450,-39003.9796470343,2.24169797283339,-42.8102311721422,40969,1.54972916666667,-43.4597,"Pleistocene"
223528,"Otospermophilus","Otospermophilus",4.4,-18.6,"6155",25,-5111.29778834232,0.627549420705295,-34.730782063921,7059,0.30913698630137,-34.7658,"Holocene"
223529,"Otospermophilus","Otospermophilus",9.4,-19.3,"28370",180,-30568.3416705629,2.38392631211513,-43.6167226461371,32515,2.4823,-44.108,"Pleistocene"
198206,"Otospermophilus","Otospermophilus",6.4,-20.7,"30480",290,-32955.0844399667,2.22605665801996,-42.8562007504533,34895,1.54273684210526,-39.7665,"Pleistocene"
217076,"S. audubonii","Sylvilagus",7.9,-21.7,"42900",1400,-44105.3671684404,1.93564763258317,-41.1502406669192,45791,2.51774193548387,-40.6138,"Pleistocene"
217077,"S. bachmani","Sylvilagus",6.7,-22.2,"35550",560,-38699.2981628538,2.1178422396312,-41.9567285814821,40668,2.23129032258064,-42.2948,"Pleistocene"
223495,"Sylvilagus sp","Sylvilagus",5.6,-21.5,"38740",640,-40694.9393767873,2.07525839890879,-42.3316844853483,42588,2.24535294117647,-41.0676,"Pleistocene"
223587,"Otospermophilus","Otospermophilus",6.4,-20.3,"26710",110,-29030.0443745516,2.28467394175366,-44.3396852207079,30993,2.41254794520548,-43.9057,"Pleistocene"
