Name,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent,Unmodelled _BP_mu,Unmodelled _BP_sigma,Unmodelled _BP_median
"UCIAMS 223585 R_Date(39220,460)",43393,42288,95.449974,42792,285,42749
"UCIAMS 223587 R_Date(26710,110)",31137,30814,95.449974,30981,94,30993
"UCIAMS 198199 R_Date(35770,550)",41845,39845,95.449974,40848,502,40868
"UCIAMS 198200 R_Date(35050,510)",41160,39309,95.449974,40227,489,40223
"UCIAMS 198201 R_Date(32500,370)",38184,36110,95.449974,36968,520,36891
"UCIAMS 198202 R_Date(35900,560)",41928,39955,95.449974,40964,498,40984
"UCIAMS 198203 R_Date(33100,620)",39423,36329,95.449974,37910,843,37879
"UCIAMS 198204 R_Date(36160,910)",42310,39690,95.449974,41088,691,41138
"UCIAMS 223524 R_Date(28090,180)",32900,31650,95.449974,32171,358,32069
"UCIAMS 223525 R_Date(31460,260)",36292,35315,95.449974,35815,262,35820
"UCIAMS 223526 R_Date(30540,240)",35390,34475,95.449974,34936,244,34931
"UCIAMS 223527 R_Date(35870,450)",41804,40083,95.449974,40955,414,40969
"UCIAMS 223528 R_Date(6155,25)",7159,6960,95.449974,7062,59,7059
"UCIAMS 223529 R_Date(28370,180)",33136,31895,95.449974,32519,345,32515
